Apr 06 \'15,LOS ANGELES,1,VANCOUVER,2,SO,E. Lack,C. Higgins,37,0,2,6,38,0,3,4,"18,870"
Apr 06 \'15,WINNIPEG,2,MINNESOTA,0,,O. Pavelec,B. Wheeler,34,1,4,6,32,0,3,8,"19,010"
Apr 06 \'15,COLUMBUS,3,NY RANGERS,4,OT,H. Lundqvist,D. Stepan,32,0,3,6,42,0,3,6,"18,006"
Apr 06 \'15,CAROLINA,3,BUFFALO,4,,A. Lindback,T. Ennis,52,0,0,0,25,0,0,0,"19,070"
Apr 05 \'15,OTTAWA,2,TORONTO,3,SO,J. Bernier,P. Holland,45,2,5,6,38,0,2,12,"18,919"
Apr 05 \'15,ST LOUIS,2,CHICAGO,1,,J. Allen,O. Jokinen,33,1,3,4,39,0,2,6,"22,017"
Apr 05 \'15,MONTREAL,4,FLORIDA,1,,C. Price,B. Gallagher,28,1,7,8,25,1,4,14,"14,112"
Apr 05 \'15,WASHINGTON,2,DETROIT,1,,B. Holtby,M. Green,28,1,3,10,36,1,5,6,"20,027"
Apr 05 \'15,PITTSBURGH,1,PHILADELPHIA,4,,S. Mason,B. Schenn,47,1,2,10,20,3,4,16,"18,435"
Apr 04 \'15,CALGARY,4,EDMONTON,0,,J. Hiller,J. Colborne,29,1,1,0,27,0,0,2,"16,839"
Apr 04 \'15,COLORADO,1,LOS ANGELES,3,,J. Quick,A. Martinez,10,0,1,0,26,0,0,2,"18,230"
Apr 04 \'15,DALLAS,4,NASHVILLE,3,OT,J. Enroth,C. Eakin,24,1,1,4,36,0,2,2,"17,113"
Apr 04 \'15,NEW JERSEY,1,NY RANGERS,6,,H. Lundqvist,K. Yandle,36,0,4,4,32,0,1,10,"18,006"
Apr 04 \'15,BUFFALO,0,NY ISLANDERS,3,,J. Halak,K. Okposo,21,0,4,6,36,1,2,20,"16,170"
Apr 04 \'15,TAMPA BAY,4,FLORIDA,0,,B. Bishop,S. Stamkos,22,1,1,8,34,0,4,2,"11,072"
Apr 04 \'15,WASHINGTON,3,OTTAWA,4,OT,A. Hammond,K. Turris,32,0,1,13,28,2,3,9,"19,961"
Apr 04 \'15,TORONTO,1,BOSTON,2,SO,T. Rask,P. Bergeron,28,0,2,6,50,0,3,4,"17,565"
Apr 04 \'15,SAN JOSE,3,ARIZONA,5,,M. Smith,M. Arcobello,45,2,6,8,36,2,4,12,"14,752"
Apr 04 \'15,DETROIT,3,MINNESOTA,2,SO,J. Howard,D. Helm,22,1,2,12,24,1,6,4,"19,246"
Apr 04 \'15,VANCOUVER,4,WINNIPEG,5,,O. Pavelec,L. Stempniak,30,1,3,10,36,0,4,8,"15,016"
Apr 04 \'15,PITTSBURGH,3,COLUMBUS,5,,S. Bobrovsky,S. Hartnell,36,0,3,6,35,0,3,6,"18,513"
Apr 04 \'15,PHILADELPHIA,2,CAROLINA,3,SO,C. Ward,C. Terry,23,1,2,6,26,0,3,4,"12,852"
Apr 03 \'15,ST LOUIS,7,DALLAS,5,,B. Elliott,A. Pietrangelo,21,0,3,10,32,0,4,8,"18,532"
Apr 03 \'15,ARIZONA,1,SAN JOSE,3,,A. Niemi,J. Pavelski,21,0,1,11,37,0,2,9,"17,562"
Apr 03 \'15,COLORADO,4,ANAHEIM,2,,R. Berra,M. Duchene,23,1,4,8,37,0,3,10,"17,201"
Apr 03 \'15,MONTREAL,2,NEW JERSEY,3,SO,K. Kinkaid,J. Josefson,33,1,6,4,18,0,1,27,"16,592"
Apr 03 \'15,CHICAGO,4,BUFFALO,3,,S. Darling,J. Toews,36,0,3,13,38,1,3,13,"19,070"
Apr 02 \'15,EDMONTON,2,LOS ANGELES,8,,J. Quick,D. Doughty,30,1,3,4,33,1,2,6,"18,230"
Apr 02 \'15,VANCOUVER,1,CHICAGO,3,,C. Crawford,J. Toews,36,0,3,8,38,0,3,6,"21,901"
Apr 02 \'15,CAROLINA,1,FLORIDA,6,,R. Luongo,B. Pirri,32,1,2,2,35,0,1,4,"9,827"
Apr 02 \'15,BOSTON,3,DETROIT,2,,T. Rask,Z. Trotman,25,1,4,10,37,1,5,8,"20,027"
Apr 02 \'15,TAMPA BAY,1,OTTAWA,2,OT,A. Hammond,P. Wiercioch,29,1,4,12,34,0,5,10,"18,097"
Apr 02 \'15,WASHINGTON,5,MONTREAL,4,SO,B. Holtby,T. Brouwer,19,3,4,8,27,1,4,8,"21,287"
Apr 02 \'15,NY RANGERS,3,MINNESOTA,2,,H. Lundqvist,J. Miller,26,1,6,4,28,0,2,12,"19,244"
Apr 02 \'15,CALGARY,1,ST LOUIS,4,,J. Allen,P. Stastny,18,0,3,22,43,1,3,23,"19,308"
