2,25,1230
11,27,1229
6,7,1228
16,9,1227
10,5,1226
8,18,1225
17,12,1224
15,26,1223
22,3,1222
0,1,1221
14,24,1220
4,29,1219
19,28,1218
20,21,1217
23,13,1216
3,8,1215
18,22,1214
23,11,1213
2,12,1212
17,25,1211
10,15,1210
1,27,1209
13,4,1208
29,7,1207
14,16,1206
6,24,1205
5,21,1204
20,19,1203
2,28,1202
9,0,1201
26,8,1200
13,11,1199
14,6,1198
5,10,1197
22,20,1196
1,4,1195
16,7,1194
29,24,1193
18,21,1192
19,17,1191
9,23,1190
13,27,1189
29,14,1188
8,19,1187
5,3,1186
20,26,1185
24,6,1184
15,12,1183
28,10,1182
22,21,1181
4,11,1180
7,13,1179
9,16,1178
17,19,1177
3,18,1176
25,12,1175
28,20,1174
26,2,1173
23,1,1172
10,14,1171
27,29,1170
22,8,1169
21,5,1168
24,9,1167
1,23,1166
7,0,1165
15,17,1164
6,3,1163
11,13,1162
27,6,1161
5,12,1160
2,10,1159
25,20,1158
28,15,1157
19,14,1156
4,24,1155
18,8,1154
21,22,1153
7,23,1152
26,3,1151
11,0,1150
20,10,1149
25,26,1148
19,29,1147
27,16,1146
17,8,1145
5,28,1144
12,2,1143
4,9,1142
13,6,1141
25,15,1140
3,1,1139
11,7,1138
27,24,1137
23,22,1136
0,17,1135
6,29,1134
2,5,1133
10,18,1132
12,20,1131
4,16,1130
28,19,1129
9,27,1128
3,7,1127
13,14,1126
8,24,1125
17,5,1124
12,15,1123
20,26,1122
25,10,1121
1,22,1120
23,21,1119
0,18,1118
19,2,1117
16,28,1116
9,11,1115
8,6,1114
4,14,1113
16,25,1112
23,10,1111
19,20,1110
12,26,1109
7,27,1108
15,29,1107
22,5,1106
17,28,1105
13,18,1104
1,3,1103
0,2,1102
9,4,1101
6,21,1100
7,11,1099
12,25,1098
1,10,1097
29,27,1096
15,16,1095
0,8,1094
24,22,1093
13,19,1092
14,18,1091
29,11,1090
3,9,1089
23,20,1088
14,26,1087
7,4,1086
6,5,1085
13,17,1084
0,19,1083
27,1,1082
2,25,1081
24,10,1080
21,11,1079
6,9,1078
3,16,1077
19,5,1076
18,17,1075
2,12,1074
26,20,1073
23,15,1072
22,1,1071
28,29,1070
8,4,1069
27,13,1068
24,14,1067
10,25,1066
7,0,1065
17,3,1064
22,9,1063
10,12,1062
2,20,1061
5,15,1060
23,26,1059
7,1,1058
8,27,1057
21,4,1056
24,29,1055
28,14,1054
8,11,1053
6,19,1052
13,0,1051
18,6,1050
15,12,1049
3,2,1048
21,27,1047
24,4,1046
23,29,1045
14,16,1044
20,5,1043
22,17,1042
1,13,1041
26,11,1040
15,25,1039
28,3,1038
2,28,1037
21,20,1036
16,0,1035
24,9,1034
5,8,1033
12,19,1032
10,22,1031
4,7,1030
16,13,1029
14,24,1028
12,5,1027
15,18,1026
29,25,1025
19,3,1024
17,1,1023
26,27,1022
6,23,1021
2,22,1020
10,21,1019
0,14,1018
11,8,1017
9,28,1016
20,18,1015
26,4,1014
16,23,1013
29,12,1012
8,10,1011
20,15,1010
6,1,1009
13,27,1008
17,7,1007
21,24,1006
