Team,Game,Opp Team,GP,W,L,T,OT,P,GF,GA,SF,SA,PPG,PP Opp,PP%,TS,PPGA,PK%,FOW,FOL,FOW%
Anaheim Ducks,2014/11/07  vs. ARI,ARI,1,0,0,0,1,1,2,2,39,25,1,4,25,3,0,100,29,34,46
Anaheim Ducks,2014/11/23  vs. ARI,ARI,1,1,0,0,0,2,2,1,30,27,0,2,0,3,0,100,24,35,40.7
Anaheim Ducks,2014/12/27  @ ARI,ARI,1,0,0,0,1,1,1,1,36,29,0,1,0,1,0,100,23,38,37.7
Anaheim Ducks,2015/03/03  @ ARI,ARI,1,1,0,0,0,2,4,1,35,30,0,0,0,2,0,100,27,32,45.8
Anaheim Ducks,2015/04/11  @ ARI,ARI,1,1,0,0,0,2,2,1,38,24,0,3,0,3,0,100,32,34,48.5
Anaheim Ducks,2014/12/01  vs. BOS,BOS,1,1,0,0,0,2,3,2,28,34,0,3,0,3,0,100,27,30,47.4
Anaheim Ducks,2015/03/26  @ BOS,BOS,1,1,0,0,0,2,3,2,32,29,0,2,0,4,2,50,41,34,54.7
Anaheim Ducks,2014/10/13  @ BUF,BUF,1,1,0,0,0,2,5,1,44,12,1,6,16.7,3,0,100,45,21,68.2
Anaheim Ducks,2014/10/22  vs. BUF,BUF,1,1,0,0,0,2,4,1,34,23,0,4,0,2,0,100,36,21,63.1
Anaheim Ducks,2015/02/03  vs. CAR,CAR,1,1,0,0,0,2,5,4,31,32,1,4,25,4,0,100,28,24,53.8
Anaheim Ducks,2015/02/12  @ CAR,CAR,1,1,0,0,0,2,2,1,17,36,0,1,0,3,1,66.7,23,31,42.6
Anaheim Ducks,2014/10/24  vs. CBJ,CBJ,1,1,0,0,0,2,4,1,34,17,2,4,50,4,1,75,41,26,61.2
Anaheim Ducks,2015/03/24  @ CBJ,CBJ,1,0,1,0,0,0,3,5,40,27,1,5,20,3,1,66.7,35,38,47.9
Anaheim Ducks,2014/11/18  @ CGY,CGY,1,0,0,0,1,1,3,3,27,19,2,3,66.7,5,0,100,39,30,56.5
Anaheim Ducks,2014/11/25  vs. CGY,CGY,1,1,0,0,0,2,3,2,29,34,0,0,0,4,0,100,37,29,56.1
Anaheim Ducks,2015/01/21  vs. CGY,CGY,1,1,0,0,0,2,6,3,27,33,0,2,0,3,0,100,27,33,45
Anaheim Ducks,2015/02/20  @ CGY,CGY,1,1,0,0,0,2,6,3,38,28,0,1,0,5,1,80,30,33,47.6
Anaheim Ducks,2015/03/11  @ CGY,CGY,1,0,1,0,0,0,3,6,32,23,1,3,33.3,6,2,66.7,31,32,49.2
Anaheim Ducks,2014/10/28  @ CHI,CHI,1,1,0,0,0,2,1,0,25,38,0,1,0,3,0,100,22,34,39.3
Anaheim Ducks,2014/11/28  vs. CHI,CHI,1,0,1,0,0,0,1,4,24,38,0,2,0,5,0,100,27,23,54
Anaheim Ducks,2015/01/30  vs. CHI,CHI,1,0,1,0,0,0,1,4,22,33,1,3,33.3,3,0,100,28,24,53.8
Anaheim Ducks,2014/11/02  @ COL,COL,1,1,0,0,0,2,3,2,33,18,0,5,0,3,0,100,26,31,45.6
Anaheim Ducks,2015/03/20  vs. COL,COL,1,1,0,0,0,2,3,2,40,24,0,3,0,1,0,100,23,26,46.9
Anaheim Ducks,2015/04/03  vs. COL,COL,1,0,1,0,0,0,2,4,37,23,0,3,0,4,1,75,27,29,48.2
Anaheim Ducks,2014/10/31  @ DAL,DAL,1,1,0,0,0,2,2,1,24,22,0,4,0,6,0,100,40,31,56.3
Anaheim Ducks,2015/03/01  @ DAL,DAL,1,1,0,0,0,2,3,1,22,40,0,1,0,3,1,66.7,34,32,51.5
Anaheim Ducks,2015/04/08  vs. DAL,DAL,1,0,1,0,0,0,0,4,19,32,0,1,0,3,1,66.7,30,35,46.2
Anaheim Ducks,2014/10/11  @ DET,DET,1,1,0,0,0,2,3,2,26,29,0,3,0,2,0,100,28,23,54.9
Anaheim Ducks,2015/02/23  vs. DET,DET,1,1,0,0,0,2,3,3,25,38,0,4,0,5,1,80,35,38,47.9
Anaheim Ducks,2014/12/10  vs. EDM,EDM,1,1,0,0,0,2,2,1,34,22,1,4,25,2,0,100,43,21,67.2
Anaheim Ducks,2014/12/12  @ EDM,EDM,1,1,0,0,0,2,4,2,20,23,1,2,50,4,1,75,34,33,50.7
Anaheim Ducks,2015/02/21  @ EDM,EDM,1,1,0,0,0,2,2,1,21,27,1,1,100,2,0,100,22,26,45.8
Anaheim Ducks,2015/04/01  vs. EDM,EDM,1,1,0,0,0,2,5,1,27,23,0,1,0,3,0,100,28,26,51.8
Anaheim Ducks,2014/11/16  vs. FLA,FLA,1,0,1,0,0,0,2,6,35,29,0,2,0,1,1,0,35,25,58.3
Anaheim Ducks,2015/02/10  @ FLA,FLA,1,0,1,0,0,0,2,6,33,26,1,3,33.3,8,3,62.5,39,24,61.9
Anaheim Ducks,2014/11/12  vs. LAK,LAK,1,1,0,0,0,2,5,5,49,26,0,2,0,2,0,100,35,30,53.8
Anaheim Ducks,2014/11/15  @ LAK,LAK,1,0,0,0,1,1,2,3,29,37,0,3,0,3,2,33.3,33,35,48.5
Anaheim Ducks,2015/01/17  @ LAK,LAK,1,1,0,0,0,2,2,2,31,28,1,2,50,3,1,66.7,39,37,51.3
Anaheim Ducks,2015/02/27  vs. LAK,LAK,1,1,0,0,0,2,4,2,32,22,0,1,0,1,0,100,37,27,57.8
Anaheim Ducks,2015/03/18  vs. LAK,LAK,1,1,0,0,0,2,3,2,26,31,0,3,0,3,1,66.7,36,22,62.1
Anaheim Ducks,2014/10/17  vs. MIN,MIN,1,1,0,0,0,2,2,1,26,28,0,4,0,3,0,100,28,36,43.8
Anaheim Ducks,2014/12/05  @ MIN,MIN,1,1,0,0,0,2,5,4,21,25,0,4,0,4,2,50,26,38,40.6
Anaheim Ducks,2015/03/13  @ MIN,MIN,1,1,0,0,0,2,2,1,24,33,0,3,0,5,1,80,23,34,40.4
Anaheim Ducks,2014/12/18  @ MTL,MTL,1,1,0,0,0,2,2,1,23,24,0,3,0,3,1,66.7,35,41,46.1
Anaheim Ducks,2015/03/04  vs. MTL,MTL,1,1,0,0,0,2,3,1,33,38,0,1,0,3,1,66.7,41,35,53.9
Anaheim Ducks,2015/01/16  vs. NJD,NJD,1,1,0,0,0,2,5,1,40,15,1,3,33.3,2,1,50,35,28,55.6
Anaheim Ducks,2015/03/29  @ NJD,NJD,1,1,0,0,0,2,2,1,25,27,0,1,0,2,0,100,34,25,57.6
Anaheim Ducks,2015/01/04  vs. NSH,NSH,1,1,0,0,0,2,3,3,33,30,0,3,0,4,2,50,37,29,56.1
Anaheim Ducks,2015/02/05  @ NSH,NSH,1,1,0,0,0,2,5,2,26,46,0,4,0,4,1,75,33,37,47.1
Anaheim Ducks,2015/03/15  vs. NSH,NSH,1,1,0,0,0,2,4,2,28,27,1,3,33.3,3,1,66.7,41,33,55.4
Anaheim Ducks,2014/11/05  vs. NYI,NYI,1,0,0,0,1,1,2,3,34,36,1,2,50,3,2,33.3,40,33,54.8
Anaheim Ducks,2015/03/28  @ NYI,NYI,1,1,0,0,0,2,3,2,24,31,0,0,0,4,0,100,30,14,68.2
Anaheim Ducks,2015/01/07  vs. NYR,NYR,1,0,1,0,0,0,1,4,25,30,1,3,33.3,1,0,100,36,25,59
Anaheim Ducks,2015/03/22  @ NYR,NYR,1,0,1,0,0,0,2,7,38,29,0,1,0,2,1,50,37,26,58.7
Anaheim Ducks,2014/12/19  @ OTT,OTT,1,0,1,0,0,0,2,6,34,31,0,3,0,2,1,50,36,31,53.7
Anaheim Ducks,2015/02/25  vs. OTT,OTT,1,0,1,0,0,0,0,3,25,34,0,2,0,4,0,100,39,21,65
Anaheim Ducks,2014/10/14  @ PHI,PHI,1,1,0,0,0,2,3,3,28,42,0,2,0,4,2,50,30,30,50
Anaheim Ducks,2014/12/03  vs. PHI,PHI,1,1,0,0,0,2,4,4,33,35,1,5,20,2,1,50,36,30,54.5
Anaheim Ducks,2014/10/09  @ PIT,PIT,1,0,1,0,0,0,4,6,29,39,3,6,50,4,1,75,34,38,47.2
Anaheim Ducks,2015/03/06  vs. PIT,PIT,1,0,1,0,0,0,2,5,29,21,0,3,0,4,0,100,37,31,54.4
Anaheim Ducks,2014/10/26  vs. SJS,SJS,1,0,1,0,0,0,1,4,34,37,1,5,20,5,2,60,40,33,54.8
Anaheim Ducks,2014/11/29  @ SJS,SJS,1,0,1,0,0,0,4,6,34,35,0,5,0,5,2,60,33,44,42.9
Anaheim Ducks,2014/12/22  vs. SJS,SJS,1,1,0,0,0,2,3,2,32,32,0,3,0,2,1,50,30,30,50
Anaheim Ducks,2014/12/31  vs. SJS,SJS,1,0,1,0,0,0,0,3,28,27,0,3,0,8,1,87.5,38,21,64.4
Anaheim Ducks,2015/01/29  @ SJS,SJS,1,0,1,0,0,0,3,6,28,33,0,2,0,5,1,80,22,28,44
Anaheim Ducks,2014/10/19  vs. STL,STL,1,1,0,0,0,2,3,0,25,28,2,3,66.7,2,0,100,38,23,62.3
Anaheim Ducks,2014/10/30  @ STL,STL,1,0,1,0,0,0,0,2,24,29,0,4,0,3,0,100,22,32,40.7
Anaheim Ducks,2015/01/02  vs. STL,STL,1,1,0,0,0,2,4,3,33,42,1,5,20,5,1,80,23,40,36.5
Anaheim Ducks,2015/02/08  @ TBL,TBL,1,0,1,0,0,0,3,5,28,23,1,5,20,5,0,100,31,32,49.2
Anaheim Ducks,2015/02/18  vs. TBL,TBL,1,0,1,0,0,0,1,4,25,32,0,2,0,3,0,100,33,30,52.4
Anaheim Ducks,2014/12/16  @ TOR,TOR,1,0,1,0,0,0,2,6,42,27,0,2,0,3,1,66.7,32,36,47.1
Anaheim Ducks,2015/01/14  vs. TOR,TOR,1,1,0,0,0,2,4,0,25,28,1,2,50,3,0,100,24,32,42.9
Anaheim Ducks,2014/11/09  vs. VAN,VAN,1,0,0,0,1,1,1,1,29,35,1,1,100,3,0,100,35,34,50.7
Anaheim Ducks,2014/11/20  @ VAN,VAN,1,1,0,0,0,2,3,3,26,28,0,3,0,1,0,100,31,36,46.3
Anaheim Ducks,2014/12/28  vs. VAN,VAN,1,1,0,0,0,2,2,1,31,14,0,4,0,1,0,100,31,23,57.4
Anaheim Ducks,2015/01/27  @ VAN,VAN,1,1,0,0,0,2,4,0,24,17,1,3,33.3,3,0,100,30,29,50.8
Anaheim Ducks,2015/03/09  @ VAN,VAN,1,0,1,0,0,0,1,2,30,16,0,3,0,1,0,100,29,21,58
Anaheim Ducks,2014/12/07  @ WPG,WPG,1,1,0,0,0,2,4,3,25,30,2,6,33.3,6,2,66.7,31,30,50.8
Anaheim Ducks,2014/12/13  @ WPG,WPG,1,1,0,0,0,2,4,1,31,28,1,5,20,4,1,75,33,27,55
Anaheim Ducks,2015/01/11  vs. WPG,WPG,1,1,0,0,0,2,4,4,43,32,2,5,40,6,0,100,47,35,57.3
Anaheim Ducks,2015/02/06  @ WSH,WSH,1,0,0,0,1,1,2,2,25,34,1,2,50,1,0,100,30,34,46.9
Anaheim Ducks,2015/02/15  vs. WSH,WSH,1,0,1,0,0,0,3,5,33,28,0,4,0,5,1,80,25,31,44.6
Arizona Coyotes,2014/11/07  @ ANA,ANA,1,1,0,0,0,2,2,2,25,39,0,3,0,4,1,75,34,29,54
Arizona Coyotes,2014/11/23  @ ANA,ANA,1,0,1,0,0,0,1,2,27,30,0,3,0,2,0,100,35,24,59.3
Arizona Coyotes,2014/12/27  vs. ANA,ANA,1,1,0,0,0,2,1,1,29,36,0,1,0,1,0,100,38,23,62.3
Arizona Coyotes,2015/03/03  vs. ANA,ANA,1,0,1,0,0,0,1,4,30,35,0,2,0,0,0,0,32,27,54.2
Arizona Coyotes,2015/04/11  vs. ANA,ANA,1,0,1,0,0,0,1,2,24,38,0,3,0,3,0,100,34,32,51.5
Arizona Coyotes,2014/12/06  vs. BOS,BOS,1,0,1,0,0,0,2,5,26,33,1,4,25,2,1,50,31,25,55.4
Arizona Coyotes,2015/02/28  @ BOS,BOS,1,0,1,0,0,0,1,4,32,34,0,1,0,5,1,80,24,35,40.7
Arizona Coyotes,2015/03/26  @ BUF,BUF,1,1,0,0,0,2,4,3,42,35,1,5,20,5,2,60,32,31,50.8
