Team,Game,Opp Team,GP,W,L,T,OT,P,GF,GA,SF,SA,PPG,PP Opp,PP%,TS,PPGA,PK%,FOW,FOL,FOW%
"Winnipeg Jets","2013/12/10  vs. STL","STL","1","0","1","0","0","0","1","2","21","20","1","4","25.0","3","1","66.7","28","37","43.1"
"Washington Capitals","2014/04/04  @ NJD","NJD","1","0","1","0","0","0","1","2","25","31","0","3","0.0","5","0","100.0","20","29","40.8"
"Chicago Blackhawks","2014/03/30  @ PIT","PIT","1","0","1","0","0","0","1","4","26","27","0","1","0.0","2","0","100.0","27","36","42.9"
"Colorado Avalanche","2014/03/04  @ CHI","CHI","1","1","0","0","0","2","4","2","21","38","1","3","33.3","4","1","75.0","26","25","51.0"
"Edmonton Oilers","2013/11/10  @ CHI","CHI","1","0","1","0","0","0","4","5","23","36","2","2","100.0","5","1","80.0","23","50","31.5"
"Winnipeg Jets","2013/10/24  @ NSH","NSH","1","0","0","0","1","1","2","3","36","33","0","4","0.0","2","1","50.0","20","39","33.9"
"Vancouver Canucks","2014/01/01  vs. TBL","TBL","1","0","1","0","0","0","2","4","30","33","0","2","0.0","3","1","66.7","35","28","55.6"
"Phoenix Coyotes","2014/03/15  vs. CGY","CGY","1","1","0","0","0","2","3","2","26","31","1","8","12.5","4","2","50.0","32","25","56.1"
"Boston Bruins","2014/03/15  vs. CAR","CAR","1","1","0","0","0","2","5","1","41","30","0","2","0.0","3","0","100.0","36","31","53.7"
"Colorado Avalanche","2014/01/11  @ MIN","MIN","1","1","0","0","0","2","4","2","18","27","0","3","0.0","2","0","100.0","26","29","47.3"
"Phoenix Coyotes","2014/03/13  @ BOS","BOS","1","0","1","0","0","0","1","2","22","20","0","5","0.0","1","0","100.0","17","24","41.5"
"Carolina Hurricanes","2014/03/29  vs. CBJ","CBJ","1","0","0","0","1","1","2","3","27","32","1","3","33.3","1","1","0.0","32","32","50.0"
"Philadelphia Flyers","2014/03/11  vs. NJD","NJD","1","0","1","0","0","0","1","2","31","26","0","6","0.0","3","0","100.0","38","20","65.5"
"Nashville Predators","2014/01/09  vs. ANA","ANA","1","0","1","0","0","0","3","4","26","28","0","3","0.0","4","1","75.0","30","26","53.6"
"Tampa Bay Lightning","2014/01/11  @ PHI","PHI","1","1","0","0","0","2","6","3","25","38","0","3","0.0","4","1","75.0","25","32","43.9"
"San Jose Sharks","2014/01/05  @ CHI","CHI","1","1","0","0","0","2","2","2","42","35","0","1","0.0","0","0","0.0","40","35","53.3"
"Philadelphia Flyers","2014/01/22  vs. CAR","CAR","1","0","1","0","0","0","2","3","24","32","1","2","50.0","2","0","100.0","22","28","44.0"
"San Jose Sharks","2013/11/02  vs. PHX","PHX","1","0","0","0","1","1","2","2","50","30","1","6","16.7","4","0","100.0","31","31","50.0"
"New Jersey Devils","2014/03/29  @ NYI","NYI","1","0","0","0","1","1","1","1","24","20","0","3","0.0","2","0","100.0","28","25","52.8"
"Toronto Maple Leafs","2013/11/02  @ VAN","VAN","1","0","1","0","0","0","0","4","21","47","0","4","0.0","9","1","88.9","32","42","43.2"
"Dallas Stars","2013/11/09  vs. CHI","CHI","1","0","1","0","0","0","2","5","33","31","0","6","0.0","1","1","0.0","26","26","50.0"
"Colorado Avalanche","2013/10/17  vs. DET","DET","1","0","1","0","0","0","2","4","40","28","2","5","40.0","5","2","60.0","29","25","53.7"
"New York Islanders","2013/10/17  vs. EDM","EDM","1","1","0","0","0","2","3","2","40","29","1","5","20.0","3","0","100.0","22","33","40.0"
"Columbus Blue Jackets","2013/11/01  @ PIT","PIT","1","0","1","0","0","0","2","4","39","27","0","4","0.0","4","2","50.0","26","31","45.6"
"Buffalo Sabres","2013/12/05  vs. NYR","NYR","1","0","1","0","0","0","1","3","28","31","0","2","0.0","2","1","50.0","23","41","35.9"
"Dallas Stars","2014/04/11  vs. STL","STL","1","1","0","0","0","2","3","0","40","22","1","5","20.0","2","0","100.0","29","31","48.3"
"Dallas Stars","2014/01/30  vs. NJD","NJD","1","0","0","0","1","1","2","3","16","24","0","3","0.0","3","2","33.3","27","31","46.6"
"Washington Capitals","2013/11/27  vs. OTT","OTT","1","0","1","0","0","0","4","6","33","41","2","4","50.0","6","3","50.0","32","44","42.1"
"Toronto Maple Leafs","2014/01/25  @ WPG","WPG","1","0","0","0","1","1","4","5","28","32","1","5","20.0","3","2","33.3","31","30","50.8"
"Columbus Blue Jackets","2013/10/05  @ NYI","NYI","1","1","0","0","0","2","2","2","29","30","1","2","50.0","2","1","50.0","30","31","49.2"
"Carolina Hurricanes","2013/11/12  vs. COL","COL","1","1","0","0","0","2","2","1","28","34","0","1","0.0","2","1","50.0","36","26","58.1"
"Chicago Blackhawks","2013/12/20  vs. VAN","VAN","1","0","0","0","1","1","2","2","26","24","0","4","0.0","4","0","100.0","24","25","49.0"
"Florida Panthers","2014/01/06  @ MTL","MTL","1","0","1","0","0","0","1","2","27","35","0","2","0.0","2","0","100.0","38","26","59.4"
"Philadelphia Flyers","2013/12/21  @ CBJ","CBJ","1","0","1","0","0","0","3","6","36","29","0","5","0.0","4","1","75.0","39","41","48.8"
"San Jose Sharks","2013/10/12  vs. OTT","OTT","1","1","0","0","0","2","3","2","50","23","1","5","20.0","3","1","66.7","39","30","56.5"
"New Jersey Devils","2014/01/04  @ BUF","BUF","1","0","1","0","0","0","1","2","22","22","1","4","25.0","5","2","60.0","37","32","53.6"
"Vancouver Canucks","2014/01/16  @ PHX","PHX","1","0","1","0","0","0","0","1","29","23","0","7","0.0","6","1","83.3","28","30","48.3"
"Dallas Stars","2013/11/03  @ OTT","OTT","1","1","0","0","0","2","3","3","38","36","0","4","0.0","4","1","75.0","24","39","38.1"
"Edmonton Oilers","2014/01/02  @ SJS","SJS","1","0","1","0","0","0","1","5","24","36","0","3","0.0","3","0","100.0","18","38","32.1"
"Anaheim Ducks","2014/01/09  @ NSH","NSH","1","1","0","0","0","2","4","3","28","26","1","4","25.0","3","0","100.0","26","30","46.4"
"Vancouver Canucks","2014/03/14  @ WSH","WSH","1","0","1","0","0","0","3","4","41","21","0","3","0.0","2","1","50.0","23","35","39.7"
"Los Angeles Kings","2014/02/03  vs. CHI","CHI","1","0","1","0","0","0","3","5","34","30","1","5","20.0","5","1","80.0","41","22","65.1"
"Dallas Stars","2013/10/28  @ BUF","BUF","1","1","0","0","0","2","4","3","29","25","1","3","33.3","3","1","66.7","39","19","67.2"
"Minnesota Wild","2014/02/28  @ VAN","VAN","1","1","0","0","0","2","1","1","23","31","1","3","33.3","2","0","100.0","26","23","53.1"
"Edmonton Oilers","2013/10/17  @ NYI","NYI","1","0","1","0","0","0","2","3","29","40","0","3","0.0","5","1","80.0","33","22","60.0"
"St. Louis Blues","2013/11/12  vs. PHX","PHX","1","0","0","0","1","1","2","3","39","19","0","1","0.0","1","0","100.0","25","30","45.5"
"Phoenix Coyotes","2014/02/04  vs. DAL","DAL","1","0","1","0","0","0","1","3","28","40","0","2","0.0","4","1","75.0","28","29","49.1"
"New Jersey Devils","2014/04/05  @ CAR","CAR","1","1","0","0","0","2","3","1","23","27","0","1","0.0","4","0","100.0","22","34","39.3"
"Detroit Red Wings","2013/12/14  vs. PIT","PIT","1","0","1","0","0","0","1","4","29","25","0","5","0.0","4","2","50.0","22","23","48.9"
"Tampa Bay Lightning","2014/03/22  @ PIT","PIT","1","0","0","0","1","1","3","4","24","29","1","2","50.0","6","3","50.0","24","36","40.0"
"Ottawa Senators","2013/11/03  vs. DAL","DAL","1","0","0","0","1","1","3","3","36","38","1","4","25.0","4","0","100.0","39","24","61.9"
"Chicago Blackhawks","2013/11/27  @ CGY","CGY","1","1","0","0","0","2","3","2","30","22","0","2","0.0","1","0","100.0","28","38","42.4"
"Edmonton Oilers","2013/12/31  @ PHX","PHX","1","0","0","0","1","1","3","4","25","45","0","1","0.0","2","0","100.0","32","27","54.2"
"Tampa Bay Lightning","2014/03/08  vs. BOS","BOS","1","0","0","0","1","1","3","3","20","32","0","1","0.0","3","0","100.0","33","26","55.9"
"Pittsburgh Penguins","2013/10/17  @ PHI","PHI","1","1","0","0","0","2","4","1","35","25","0","4","0.0","4","1","75.0","28","39","41.8"
"New York Islanders","2013/11/16  vs. DET","DET","1","1","0","0","0","2","4","4","41","23","1","6","16.7","1","1","0.0","28","29","49.1"
"Tampa Bay Lightning","2013/11/14  vs. ANA","ANA","1","1","0","0","0","2","5","1","20","25","2","2","100.0","3","0","100.0","39","25","60.9"
"Vancouver Canucks","2014/03/26  @ MIN","MIN","1","1","0","0","0","2","5","2","19","31","1","2","50.0","4","0","100.0","27","27","50.0"
"Toronto Maple Leafs","2014/02/08  vs. VAN","VAN","1","1","0","0","0","2","3","1","24","33","0","3","0.0","2","0","100.0","35","29","54.7"
"Calgary Flames","2014/03/24  vs. SJS","SJS","1","1","0","0","0","2","1","1","27","34","0","3","0.0","2","0","100.0","34","31","52.3"
"Nashville Predators","2014/01/18  vs. COL","COL","1","0","1","0","0","0","4","5","31","29","1","4","25.0","1","1","0.0","29","33","46.8"
"Ottawa Senators","2013/11/19  @ PHI","PHI","1","0","1","0","0","0","2","5","34","42","2","6","33.3","4","1","75.0","31","32","49.2"
"Ottawa Senators","2013/11/15  vs. BOS","BOS","1","1","0","0","0","2","4","2","31","32","0","2","0.0","1","0","100.0","38","26","59.4"
"New Jersey Devils","2014/04/04  vs. WSH","WSH","1","1","0","0","0","2","2","1","31","25","0","5","0.0","3","0","100.0","29","20","59.2"
"Washington Capitals","2014/02/27  @ FLA","FLA","1","1","0","0","0","2","5","4","32","34","2","2","100.0","6","1","83.3","33","28","54.1"
"Nashville Predators","2014/01/20  vs. DAL","DAL","1","1","0","0","0","2","4","1","23","36","0","2","0.0","2","1","50.0","35","29","54.7"
"Carolina Hurricanes","2013/10/08  @ PIT","PIT","1","0","1","0","0","0","2","5","34","37","0","2","0.0","3","2","33.3","27","44","38.0"
"New York Islanders","2013/11/09  @ CBJ","CBJ","1","0","1","0","0","0","2","5","26","29","0","1","0.0","4","2","50.0","26","37","41.3"
"Detroit Red Wings","2013/10/04  @ CAR","CAR","1","1","0","0","0","2","3","2","38","25","0","3","0.0","3","1","66.7","23","24","48.9"
"San Jose Sharks","2014/03/06  vs. PIT","PIT","1","1","0","0","0","2","5","3","47","22","0","4","0.0","4","2","50.0","29","30","49.2"
"Washington Capitals","2013/12/21  vs. NJD","NJD","1","0","0","0","1","1","4","5","22","37","0","1","0.0","2","2","0.0","29","18","61.7"
"Anaheim Ducks","2013/11/14  @ TBL","TBL","1","0","1","0","0","0","1","5","25","20","0","3","0.0","2","2","0.0","25","39","39.1"
"New York Islanders","2014/01/04  vs. CAR","CAR","1","0","1","0","0","0","2","3","40","30","1","2","50.0","2","0","100.0","23","33","41.1"
"Toronto Maple Leafs","2013/11/29  @ BUF","BUF","1","0","0","0","1","1","2","3","24","29","0","1","0.0","4","1","75.0","32","32","50.0"
"Washington Capitals","2013/11/29  vs. MTL","MTL","1","1","0","0","0","2","2","2","26","37","0","4","0.0","2","0","100.0","33","36","47.8"
"Carolina Hurricanes","2014/03/31  @ OTT","OTT","1","0","0","0","1","1","1","1","31","29","0","3","0.0","2","0","100.0","31","31","50.0"
"Toronto Maple Leafs","2014/03/01  @ MTL","MTL","1","0","0","0","1","1","3","4","25","30","0","3","0.0","5","2","60.0","37","40","48.1"
"Buffalo Sabres","2013/10/28  vs. DAL","DAL","1","0","1","0","0","0","3","4","25","29","1","3","33.3","3","1","66.7","19","39","32.8"
"Boston Bruins","2013/11/14  vs. CBJ","CBJ","1","1","0","0","0","2","3","2","31","34","0","1","0.0","4","0","100.0","35","29","54.7"
"San Jose Sharks","2014/04/01  vs. EDM","EDM","1","1","0","0","0","2","5","4","33","29","1","7","14.3","3","1","66.7","37","32","53.6"
"Montréal Canadiens","2014/03/22  @ TOR","TOR","1","1","0","0","0","2","4","3","36","36","0","2","0.0","2","1","50.0","27","31","46.6"
"Detroit Red Wings","2013/11/27  vs. BOS","BOS","1","1","0","0","0","2","6","1","28","17","1","4","25.0","3","0","100.0","22","34","39.3"
"New York Rangers","2014/01/04  @ TOR","TOR","1","1","0","0","0","2","7","1","50","26","1","3","33.3","1","0","100.0","23","40","36.5"
"St. Louis Blues","2013/11/01  @ FLA","FLA","1","1","0","0","0","2","4","0","23","31","1","4","25.0","2","0","100.0","26","28","48.1"
"Ottawa Senators","2014/03/16  vs. COL","COL","1","0","1","0","0","0","1","3","39","22","0","2","0.0","1","1","0.0","33","32","50.8"
"New Jersey Devils","2014/03/31  vs. FLA","FLA","1","1","0","0","0","2","6","3","32","22","1","4","25.0","5","0","100.0","26","29","47.3"
"Tampa Bay Lightning","2014/01/16  vs. NYI","NYI","1","0","0","0","1","1","1","1","30","30","1","3","33.3","4","1","75.0","33","33","50.0"
"Toronto Maple Leafs","2013/11/13  @ MIN","MIN","1","0","0","0","1","1","1","1","23","34","1","3","33.3","5","0","100.0","32","29","52.5"
"Anaheim Ducks","2013/11/18  @ PIT","PIT","1","0","1","0","0","0","1","3","28","27","0","1","0.0","3","0","100.0","20","29","40.8"
"Chicago Blackhawks","2014/02/27  @ NYR","NYR","1","0","1","0","0","0","1","2","32","24","0","3","0.0","1","0","100.0","28","22","56.0"
"Florida Panthers","2014/04/12  vs. CBJ","CBJ","1","0","1","0","0","0","2","3","35","38","0","4","0.0","5","2","60.0","28","26","51.8"
"Carolina Hurricanes","2013/10/06  vs. PHI","PHI","1","1","0","0","0","2","2","1","34","18","0","4","0.0","2","0","100.0","32","24","57.1"
"Philadelphia Flyers","2014/03/20  vs. DAL","DAL","1","1","0","0","0","2","4","2","29","35","1","2","50.0","3","1","66.7","35","27","56.5"
"Calgary Flames","2013/12/12  vs. CAR","CAR","1","1","0","0","0","2","2","1","30","30","0","1","0.0","2","0","100.0","29","27","51.8"
"New Jersey Devils","2014/04/11  vs. NYI","NYI","1","0","0","0","1","1","2","2","27","30","0","1","0.0","3","1","66.7","29","38","43.3"
"New Jersey Devils","2013/12/07  @ NYR","NYR","1","1","0","0","0","2","4","3","24","24","1","2","50.0","4","1","75.0","25","29","46.3"
"Columbus Blue Jackets","2014/01/30  vs. WSH","WSH","1","1","0","0","0","2","5","2","29","32","0","7","0.0","7","0","100.0","33","35","48.5"
"Florida Panthers","2013/11/19  @ VAN","VAN","1","1","0","0","0","2","2","2","36","29","1","3","33.3","2","0","100.0","37","32","53.6"
"Carolina Hurricanes","2013/11/24  vs. OTT","OTT","1","1","0","0","0","2","4","1","37","36","1","4","25.0","2","0","100.0","34","34","50.0"
"Philadelphia Flyers","2013/11/07  vs. NJD","NJD","1","0","1","0","0","0","0","3","22","25","0","3","0.0","3","0","100.0","29","24","54.7"
"San Jose Sharks","2013/10/24  @ BOS","BOS","1","0","1","0","0","0","1","2","39","17","0","1","0.0","1","0","100.0","24","33","42.1"
"Colorado Avalanche","2014/01/25  @ TBL","TBL","1","0","1","0","0","0","2","5","27","29","0","3","0.0","3","0","100.0","33","29","53.2"
"Pittsburgh Penguins","2013/10/05  vs. BUF","BUF","1","1","0","0","0","2","4","1","35","21","0","2","0.0","2","0","100.0","40","35","53.3"
"Vancouver Canucks","2013/11/09  @ LAK","LAK","1","0","1","0","0","0","1","5","26","32","0","2","0.0","3","0","100.0","28","29","49.1"
"Colorado Avalanche","2014/01/04  vs. SJS","SJS","1","1","0","0","0","2","4","3","21","33","1","4","25.0","3","1","66.7","28","38","42.4"
"Washington Capitals","2014/01/31  @ DET","DET","1","0","0","0","1","1","3","3","29","45","1","2","50.0","5","0","100.0","30","29","50.8"
"Montréal Canadiens","2013/10/09  @ CGY","CGY","1","0","1","0","0","0","2","3","35","25","1","3","33.3","3","1","66.7","31","28","52.5"
"Columbus Blue Jackets","2014/03/21  vs. NYR","NYR","1","0","1","0","0","0","1","3","26","32","0","3","0.0","4","0","100.0","29","21","58.0"
"Calgary Flames","2014/02/06  @ NYI","NYI","1","1","0","0","0","2","4","2","22","30","1","2","50.0","5","0","100.0","24","31","43.6"
"New Jersey Devils","2014/01/31  @ NSH","NSH","1","0","0","0","1","1","2","3","26","33","0","2","0.0","2","0","100.0","27","21","56.3"
"Boston Bruins","2013/12/27  vs. OTT","OTT","1","1","0","0","0","2","5","0","42","33","1","2","50.0","3","0","100.0","34","30","53.1"
"Phoenix Coyotes","2013/12/06  @ VAN","VAN","1","0","0","0","1","1","2","3","39","32","0","2","0.0","2","1","50.0","35","23","60.3"
"Montréal Canadiens","2013/11/10  vs. NYI","NYI","1","1","0","0","0","2","4","2","31","26","2","5","40.0","4","2","50.0","34","31","52.3"
"Boston Bruins","2013/11/07  vs. FLA","FLA","1","1","0","0","0","2","4","1","30","24","0","1","0.0","4","0","100.0","36","27","57.1"
"Toronto Maple Leafs","2013/11/16  vs. BUF","BUF","1","1","0","0","0","2","4","2","22","35","2","2","100.0","3","1","66.7","39","26","60.0"
"New York Islanders","2013/12/03  vs. PIT","PIT","1","0","0","0","1","1","2","3","23","34","0","2","0.0","5","2","60.0","32","27","54.2"
"Los Angeles Kings","2014/03/10  @ CGY","CGY","1","1","0","0","0","2","3","2","23","26","0","2","0.0","3","1","66.7","27","22","55.1"
"Calgary Flames","2014/03/10  vs. LAK","LAK","1","0","1","0","0","0","2","3","26","23","1","3","33.3","2","0","100.0","22","27","44.9"
"Colorado Avalanche","2014/03/29  vs. SJS","SJS","1","1","0","0","0","2","3","2","22","49","1","4","25.0","4","1","75.0","29","34","46.0"
"Phoenix Coyotes","2014/03/22  vs. BOS","BOS","1","0","1","0","0","0","2","4","33","28","1","3","33.3","3","0","100.0","28","35","44.4"
"Pittsburgh Penguins","2014/02/03  vs. OTT","OTT","1","1","0","0","0","2","2","1","48","25","1","3","33.3","2","0","100.0","30","30","50.0"
"Boston Bruins","2014/02/26  @ BUF","BUF","1","0","0","0","1","1","4","5","33","26","2","4","50.0","5","1","80.0","31","24","56.4"
"St. Louis Blues","2013/12/28  vs. CHI","CHI","1","1","0","0","0","2","5","5","25","32","1","4","25.0","1","1","0.0","26","34","43.3"
"New York Islanders","2014/03/02  vs. FLA","FLA","1","0","1","0","0","0","3","5","38","34","1","6","16.7","4","1","75.0","28","41","40.6"
"Montréal Canadiens","2013/10/29  vs. DAL","DAL","1","1","0","0","0","2","2","1","24","27","0","3","0.0","1","0","100.0","34","33","50.7"
"Vancouver Canucks","2013/10/28  vs. WSH","WSH","1","1","0","0","0","2","3","2","41","19","0","6","0.0","4","0","100.0","34","17","66.7"
"Minnesota Wild","2013/12/23  @ PHI","PHI","1","0","1","0","0","0","1","4","27","31","1","5","20.0","4","1","75.0","25","21","54.3"
"Edmonton Oilers","2014/03/18  vs. NSH","NSH","1","1","0","0","0","2","5","1","30","29","1","4","25.0","5","0","100.0","27","36","42.9"
"New Jersey Devils","2014/03/22  vs. NYR","NYR","1","0","1","0","0","0","0","2","21","27","0","1","0.0","3","1","66.7","27","29","48.2"
"Ottawa Senators","2013/12/09  vs. PHI","PHI","1","1","0","0","0","2","4","4","34","29","1","3","33.3","2","1","50.0","35","23","60.3"
"Phoenix Coyotes","2014/04/10  @ NSH","NSH","1","0","1","0","0","0","0","2","29","23","0","2","0.0","2","1","50.0","30","36","45.5"
"Philadelphia Flyers","2013/10/06  @ CAR","CAR","1","0","1","0","0","0","1","2","18","34","0","2","0.0","4","0","100.0","24","32","42.9"
"Colorado Avalanche","2013/12/31  vs. CBJ","CBJ","1","1","0","0","0","2","5","3","23","38","3","3","100.0","3","0","100.0","31","30","50.8"
"Boston Bruins","2014/01/28  vs. FLA","FLA","1","1","0","0","0","2","6","2","41","30","1","5","20.0","2","1","50.0","38","34","52.8"
"New Jersey Devils","2013/10/04  vs. NYI","NYI","1","0","0","0","1","1","3","3","29","26","0","2","0.0","2","0","100.0","24","28","46.2"
"Vancouver Canucks","2013/11/23  vs. CHI","CHI","1","0","1","0","0","0","1","2","37","29","1","3","33.3","2","0","100.0","23","30","43.4"
"Los Angeles Kings","2014/01/30  vs. PIT","PIT","1","0","1","0","0","0","1","4","31","22","1","4","25.0","3","2","33.3","34","22","60.7"
"New Jersey Devils","2013/12/02  @ MTL","MTL","1","0","1","0","0","0","2","3","30","17","0","3","0.0","2","1","50.0","24","30","44.4"
"Dallas Stars","2013/12/07  vs. PHI","PHI","1","1","0","0","0","2","5","1","34","28","0","5","0.0","5","0","100.0","33","34","49.3"
"Minnesota Wild","2013/10/15  @ TOR","TOR","1","0","1","0","0","0","1","4","37","14","1","5","20.0","3","2","33.3","34","21","61.8"
"Winnipeg Jets","2013/11/04  vs. DET","DET","1","1","0","0","0","2","4","2","47","28","0","6","0.0","3","0","100.0","36","29","55.4"
"Buffalo Sabres","2014/03/18  @ CGY","CGY","1","0","1","0","0","0","1","3","14","26","0","2","0.0","1","0","100.0","30","21","58.8"
"Chicago Blackhawks","2014/01/14  vs. COL","COL","1","0","0","0","1","1","2","3","48","26","0","5","0.0","4","2","50.0","39","28","58.2"
"Phoenix Coyotes","2014/01/26  @ VAN","VAN","1","0","0","0","1","1","4","5","33","25","1","5","20.0","4","0","100.0","32","27","54.2"
"Detroit Red Wings","2014/01/18  vs. LAK","LAK","1","1","0","0","0","2","2","2","35","32","1","3","33.3","4","2","50.0","45","23","66.2"
"Detroit Red Wings","2013/11/15  vs. WSH","WSH","1","0","0","0","1","1","3","3","37","33","2","5","40.0","4","0","100.0","32","30","51.6"
"Nashville Predators","2013/11/10  @ NJD","NJD","1","0","1","0","0","0","0","5","15","23","0","6","0.0","4","1","75.0","27","34","44.3"
"Anaheim Ducks","2014/01/18  @ STL","STL","1","1","0","0","0","2","3","2","21","36","1","3","33.3","4","1","75.0","34","41","45.3"
"Toronto Maple Leafs","2013/10/30  @ CGY","CGY","1","1","0","0","0","2","4","2","22","43","0","1","0.0","5","0","100.0","43","34","55.8"
"Colorado Avalanche","2014/01/21  vs. TOR","TOR","1","0","1","0","0","0","2","5","37","31","0","4","0.0","4","1","75.0","33","27","55.0"
"San Jose Sharks","2014/03/04  vs. CAR","CAR","1","0","0","0","1","1","2","3","37","35","0","1","0.0","2","0","100.0","30","42","41.7"
"Dallas Stars","2013/12/17  vs. COL","COL","1","1","0","0","0","2","3","2","28","27","1","4","25.0","6","1","83.3","30","30","50.0"
"Anaheim Ducks","2013/12/06  @ CHI","CHI","1","1","0","0","0","2","2","2","26","25","1","1","100.0","3","1","66.7","35","35","50.0"
"Detroit Red Wings","2013/10/19  @ PHX","PHX","1","0","1","0","0","0","2","5","33","33","0","2","0.0","2","0","100.0","27","32","45.8"
"Minnesota Wild","2014/01/04  vs. WSH","WSH","1","1","0","0","0","2","5","3","11","30","3","5","60.0","2","1","50.0","37","27","57.8"
"Minnesota Wild","2014/04/08  vs. BOS","BOS","1","1","0","0","0","2","3","3","24","24","1","2","50.0","5","2","60.0","43","25","63.2"
"Carolina Hurricanes","2014/03/04  @ SJS","SJS","1","1","0","0","0","2","3","2","35","37","0","2","0.0","1","0","100.0","42","30","58.3"
"Dallas Stars","2013/12/01  vs. EDM","EDM","1","0","0","0","1","1","2","2","45","32","0","4","0.0","6","0","100.0","35","22","61.4"
"Toronto Maple Leafs","2013/10/17  vs. CAR","CAR","1","0","1","0","0","0","2","3","26","38","0","4","0.0","4","1","75.0","37","37","50.0"
"Vancouver Canucks","2013/10/03  @ SJS","SJS","1","0","1","0","0","0","1","4","22","35","1","6","16.7","8","0","100.0","35","32","52.2"
"Pittsburgh Penguins","2013/12/21  vs. CGY","CGY","1","1","0","0","0","2","4","3","23","30","0","3","0.0","3","0","100.0","33","24","57.9"
