Team,Game,Opp Team,GP,W,L,T,OT,P,GF,GA,SF,SA,PPG,PP Opp,PP%,TS,PPGA,PK%,FOW,FOL,FOW%
"Toronto Maple Leafs","2014/03/16  @ WSH","WSH","1","0","1","0","0","0","2","4","29","33","0","3","0.0","4","2","50.0","35","33","51.5"
"Buffalo Sabres","2014/03/06  @ TBL","TBL","1","1","0","0","0","2","3","1","21","44","0","2","0.0","3","0","100.0","24","37","39.3"
"Edmonton Oilers","2013/10/14  @ WSH","WSH","1","0","1","0","0","0","2","4","30","20","0","3","0.0","3","2","33.3","26","28","48.1"
"Ottawa Senators","2013/12/03  @ FLA","FLA","1","1","0","0","0","2","4","2","45","32","1","7","14.3","3","2","33.3","44","27","62.0"
"Calgary Flames","2014/03/08  @ VAN","VAN","1","0","1","0","0","0","1","2","23","14","0","5","0.0","1","0","100.0","26","32","44.8"
"St. Louis Blues","2014/02/01  vs. NSH","NSH","1","1","0","0","0","2","3","3","34","31","1","3","33.3","1","0","100.0","24","36","40.0"
"Nashville Predators","2014/02/01  @ STL","STL","1","0","0","0","1","1","3","3","31","34","0","1","0.0","3","1","66.7","36","24","60.0"
"Tampa Bay Lightning","2014/04/10  vs. PHI","PHI","1","1","0","0","0","2","4","2","30","36","1","3","33.3","3","1","66.7","28","29","49.1"
"Columbus Blue Jackets","2013/10/19  @ WSH","WSH","1","0","1","0","0","0","1","4","38","39","0","3","0.0","4","2","50.0","33","26","55.9"
"Buffalo Sabres","2014/01/30  @ PHX","PHX","1","1","0","0","0","2","3","2","28","40","1","2","50.0","3","1","66.7","22","27","44.9"
"Columbus Blue Jackets","2014/03/23  @ NYI","NYI","1","0","1","0","0","0","0","2","41","32","0","6","0.0","4","1","75.0","32","25","56.1"
"Buffalo Sabres","2014/04/03  @ STL","STL","1","0","1","0","0","0","1","2","25","28","1","3","33.3","2","0","100.0","20","33","37.7"
"Montréal Canadiens","2013/11/02  @ COL","COL","1","0","1","0","0","0","1","4","30","31","1","3","33.3","2","0","100.0","39","35","52.7"
"Colorado Avalanche","2014/03/25  @ NSH","NSH","1","1","0","0","0","2","4","4","28","33","0","0","0.0","2","0","100.0","38","33","53.5"
"Chicago Blackhawks","2013/11/21  @ WPG","WPG","1","1","0","0","0","2","6","3","33","25","1","4","25.0","4","2","50.0","40","23","63.5"
"Carolina Hurricanes","2013/10/10  @ WSH","WSH","1","1","0","0","0","2","3","2","36","32","1","5","20.0","5","0","100.0","32","39","45.1"
"Columbus Blue Jackets","2014/03/20  @ MTL","MTL","1","1","0","0","0","2","3","2","40","27","0","8","0.0","3","1","66.7","39","32","54.9"
"Boston Bruins","2013/10/19  @ TBL","TBL","1","1","0","0","0","2","5","0","22","23","0","4","0.0","4","0","100.0","32","31","50.8"
"Pittsburgh Penguins","2013/10/12  @ TBL","TBL","1","1","0","0","0","2","5","4","26","18","3","5","60.0","5","2","60.0","37","33","52.8"
"New York Islanders","2014/01/27  vs. BOS","BOS","1","0","1","0","0","0","3","6","37","37","0","5","0.0","2","0","100.0","43","27","61.4"
"Montréal Canadiens","2014/04/01  @ TBL","TBL","1","0","1","0","0","0","1","3","26","33","0","4","0.0","9","2","77.8","37","32","53.6"
"New Jersey Devils","2014/01/30  @ DAL","DAL","1","1","0","0","0","2","3","2","24","16","2","3","66.7","3","0","100.0","31","27","53.4"
"Montréal Canadiens","2014/03/12  vs. BOS","BOS","1","0","1","0","0","0","1","4","36","32","0","3","0.0","2","0","100.0","40","25","61.5"
"Dallas Stars","2014/02/04  @ PHX","PHX","1","1","0","0","0","2","3","1","40","28","1","4","25.0","2","0","100.0","29","28","50.9"
"St. Louis Blues","2014/01/23  @ NYR","NYR","1","1","0","0","0","2","2","1","25","35","1","2","50.0","3","0","100.0","30","28","51.7"
"Pittsburgh Penguins","2014/04/01  vs. CAR","CAR","1","0","1","0","0","0","1","4","31","28","0","1","0.0","1","1","0.0","34","25","57.6"
"Carolina Hurricanes","2014/02/27  @ DAL","DAL","1","0","1","0","0","0","1","4","30","34","0","5","0.0","7","0","100.0","27","28","49.1"
"Boston Bruins","2014/03/08  @ TBL","TBL","1","1","0","0","0","2","3","3","32","20","0","3","0.0","1","0","100.0","26","33","44.1"
