Team,Game,Opp Team,GP,SAT For,SAT Agst,SAT,SAT Tied,SAT Ahead,SAT Behind,SAT Close,USAT For,USAT Agst,USAT,USAT Tied,USAT Ahead,USAT Behind,USAT Close
Calgary Flames,2013/02/02  vs. CHI,CHI,1,61,41,20,8,1,11,8,44,27,17,10,1,6,10
Pittsburgh Penguins,2013/04/23  vs. BUF,BUF,1,61,49,12,15,0,-3,12,42,36,6,7,0,-1,5
Los Angeles Kings,2013/03/07  vs. DAL,DAL,1,50,35,15,6,1,8,10,40,28,12,5,1,6,7
Columbus Blue Jackets,2013/04/09  vs. SJS,SJS,1,41,51,-10,-3,-7,0,-5,33,39,-6,0,-6,0,-3
Detroit Red Wings,2013/03/16  vs. VAN,VAN,1,42,43,-1,-1,1,-1,0,31,35,-4,-7,5,-2,-6
San Jose Sharks,2013/01/20  vs. CGY,CGY,1,41,51,-10,-8,-6,4,1,28,39,-11,-8,-2,-1,-4
New York Rangers,2013/02/23  vs. MTL,MTL,1,50,46,4,8,0,-4,5,34,29,5,4,0,1,3
Colorado Avalanche,2013/03/28  vs. VAN,VAN,1,48,43,5,-5,0,10,-1,33,29,4,-4,0,8,-1
Pittsburgh Penguins,2013/02/02  vs. NJD,NJD,1,49,33,16,2,14,0,8,37,20,17,4,13,0,10
New York Islanders,2013/04/02  vs. WPG,WPG,1,64,45,19,16,2,1,20,49,30,19,12,6,1,15
New Jersey Devils,2013/03/23  vs. FLA,FLA,1,37,43,-6,-9,3,0,-5,30,29,1,-5,6,0,-1
Minnesota Wild,2013/02/21  vs. EDM,EDM,1,51,48,3,0,4,-1,-1,33,36,-3,-1,-1,-1,-2
Philadelphia Flyers,2013/04/18  vs. NJD,NJD,1,32,48,-16,-9,0,-7,-15,23,34,-11,-2,0,-9,-8
Pittsburgh Penguins,2013/02/24  vs. TBL,TBL,1,36,46,-10,-2,-8,0,-4,24,31,-7,-2,-5,0,-6
Colorado Avalanche,2013/03/03  vs. CBJ,CBJ,1,30,40,-10,-12,2,0,-12,22,28,-6,-8,2,0,-8
Washington Capitals,2013/03/10  vs. NYR,NYR,1,40,46,-6,-10,6,-2,-5,25,35,-10,-7,2,-5,-6
Boston Bruins,2013/02/10  vs. BUF,BUF,1,56,34,22,22,0,0,23,40,27,13,9,4,0,12
New York Islanders,2013/03/05  vs. MTL,MTL,1,34,46,-12,1,-6,-7,-2,22,32,-10,-1,-5,-4,-2
Winnipeg Jets,2013/03/26  vs. CAR,CAR,1,63,64,-1,-6,6,-1,-1,49,44,5,-4,8,1,1
Florida Panthers,2013/01/22  vs. MTL,MTL,1,27,35,-8,-4,0,-4,-15,20,24,-4,-4,0,0,-10
St. Louis Blues,2013/02/17  vs. VAN,VAN,1,35,46,-11,-5,-2,-4,-9,25,31,-6,-6,-1,1,-5
St. Louis Blues,2013/01/31  vs. CBJ,CBJ,1,26,33,-7,-1,-6,0,6,26,24,2,-1,3,0,6
Dallas Stars,2013/03/29  vs. MIN,MIN,1,39,55,-16,2,-18,0,-10,26,38,-12,0,-12,0,-5
Toronto Maple Leafs,2013/02/11  vs. PHI,PHI,1,43,55,-12,2,-17,3,6,30,42,-12,2,-12,-2,1
Chicago Blackhawks,2013/01/26  vs. CBJ,CBJ,1,27,27,0,6,-2,-4,-2,19,17,2,2,3,-3,-2
Tampa Bay Lightning,2013/02/14  vs. WSH,WSH,1,44,66,-22,-1,0,-21,-13,36,49,-13,0,0,-13,-9
Nashville Predators,2013/03/17  vs. EDM,EDM,1,43,33,10,4,0,6,6,35,22,13,9,0,4,9
Pittsburgh Penguins,2013/04/13  vs. FLA,FLA,1,34,43,-9,0,-9,0,-2,26,28,-2,-2,0,0,1
Minnesota Wild,2013/01/25  vs. DET,DET,1,26,34,-8,1,0,-9,0,18,29,-11,1,0,-12,-3
Montreal Canadiens,2013/01/19  vs. TOR,TOR,1,35,31,4,1,0,3,-4,24,26,-2,1,0,-3,-4
St. Louis Blues,2013/02/20  vs. COL,COL,1,60,37,23,23,0,0,23,42,22,20,20,0,0,20
Tampa Bay Lightning,2013/04/18  vs. MTL,MTL,1,53,48,5,-6,0,11,-1,41,36,5,-7,0,12,-2
Los Angeles Kings,2013/02/02  vs. ANA,ANA,1,54,28,26,11,0,15,17,41,22,19,10,0,9,14
Nashville Predators,2013/04/04  vs. CBJ,CBJ,1,44,60,-16,-6,0,-10,-10,32,44,-12,-1,0,-11,-3
Pittsburgh Penguins,2013/01/19  vs. PHI,PHI,1,44,36,8,1,7,0,-6,35,26,9,1,8,0,-2
Dallas Stars,2013/02/02  vs. PHX,PHX,1,36,42,-6,-1,0,-5,-4,23,30,-7,-4,0,-3,-5
Minnesota Wild,2013/03/25  vs. DAL,DAL,1,54,40,14,4,7,3,9,44,27,17,8,5,4,14
Boston Bruins,2013/01/29  vs. NJD,NJD,1,42,31,11,3,0,8,1,29,21,8,0,0,8,-1
