Team,Game,Opp Team,GP,SAT For,SAT Agst,SAT,SAT Tied,SAT Ahead,SAT Behind,SAT Close,USAT For,USAT Agst,USAT,USAT Tied,USAT Ahead,USAT Behind,USAT Close
Tampa Bay Lightning,2013/04/21  vs. CAR,CAR,1,52,35,17,0,0,17,4,44,31,13,0,0,13,1
Phoenix Coyotes,2013/01/20  vs. CHI,CHI,1,42,48,-6,-1,-4,-1,-5,35,35,0,2,-1,-1,1
Carolina Hurricanes,2013/03/03  vs. FLA,FLA,1,35,47,-12,-13,1,0,-12,25,39,-14,-11,-3,0,-10
Nashville Predators,2013/03/19  vs. CBJ,CBJ,1,46,37,9,-1,0,10,-5,39,26,13,1,0,12,-4
Detroit Red Wings,2013/04/01  vs. COL,COL,1,33,27,6,2,4,0,2,29,21,8,3,5,0,4
Ottawa Senators,2013/04/07  vs. FLA,FLA,1,56,29,27,27,-3,3,24,46,22,24,24,-2,2,22
Minnesota Wild,2013/03/09  vs. NSH,NSH,1,35,39,-4,-7,3,0,-2,29,29,0,-1,1,0,3
Edmonton Oilers,2013/02/25  vs. CHI,CHI,1,20,52,-32,-30,-2,0,-33,16,34,-18,-17,-1,0,-20
Chicago Blackhawks,2013/03/01  vs. CBJ,CBJ,1,58,45,13,12,5,-4,10,43,31,12,7,6,-1,8
Boston Bruins,2013/01/21  vs. WPG,WPG,1,48,51,-3,-1,0,-2,-3,34,34,0,3,0,-3,0
Nashville Predators,2013/04/12  vs. DAL,DAL,1,39,25,14,-4,0,18,-6,28,20,8,-3,0,11,-7
Los Angeles Kings,2013/04/04  vs. MIN,MIN,1,32,38,-6,1,-7,0,2,24,29,-5,0,-5,0,1
Dallas Stars,2013/04/03  vs. ANA,ANA,1,49,36,13,-6,0,19,7,34,30,4,-8,0,12,1
Philadelphia Flyers,2013/02/27  vs. WSH,WSH,1,61,40,21,0,21,0,4,42,25,17,0,17,0,4
Montreal Canadiens,2013/02/09  vs. TOR,TOR,1,38,40,-2,3,0,-5,-3,27,29,-2,2,0,-4,-3
San Jose Sharks,2013/04/01  vs. VAN,VAN,1,49,62,-13,5,-18,0,6,40,37,3,9,-6,0,10
San Jose Sharks,2013/03/06  vs. CGY,CGY,1,50,42,8,-3,0,11,-4,37,35,2,-2,0,4,-6
New Jersey Devils,2013/04/04  vs. BOS,BOS,1,58,42,16,11,0,5,7,46,29,17,10,0,7,8
Detroit Red Wings,2013/04/11  vs. SJS,SJS,1,41,34,7,5,-1,3,8,28,29,-1,1,-1,-1,0
Ottawa Senators,2013/04/11  vs. PHI,PHI,1,56,33,23,14,9,0,24,42,18,24,16,8,0,24
Florida Panthers,2013/02/09  vs. WSH,WSH,1,40,46,-6,-1,0,-5,0,23,31,-8,0,0,-8,0
Buffalo Sabres,2013/02/02  vs. MTL,MTL,1,36,41,-5,-14,0,9,-12,27,31,-4,-12,0,8,-11
Pittsburgh Penguins,2013/03/22  vs. NYI,NYI,1,51,61,-10,-7,-4,1,-6,32,44,-12,-11,-4,3,-8
Edmonton Oilers,2013/04/26  vs. MIN,MIN,1,37,66,-29,1,-30,0,-5,27,48,-21,1,-22,0,-3
Phoenix Coyotes,2013/04/22  vs. DET,DET,1,47,36,11,0,0,11,6,38,30,8,0,0,8,6
Pittsburgh Penguins,2013/04/03  vs. NYR,NYR,1,39,56,-17,-2,0,-15,-3,31,44,-13,-1,0,-12,-2
Columbus Blue Jackets,2013/04/04  vs. NSH,NSH,1,60,44,16,6,10,0,10,44,32,12,1,11,0,3
Ottawa Senators,2013/04/16  vs. CAR,CAR,1,37,50,-13,-6,-7,0,-3,30,35,-5,-6,1,0,-2
Minnesota Wild,2013/04/13  vs. CBJ,CBJ,1,48,33,15,7,-4,12,9,39,21,18,7,0,11,11
Tampa Bay Lightning,2013/02/02  vs. NYR,NYR,1,46,51,-5,-10,-7,12,-17,36,43,-7,-11,-5,9,-16
New York Islanders,2013/03/07  vs. NYR,NYR,1,51,70,-19,-2,-17,0,-16,33,53,-20,0,-20,0,-17
Chicago Blackhawks,2013/02/02  vs. CGY,CGY,1,41,61,-20,-8,-11,-1,-8,27,44,-17,-10,-6,-1,-10
Minnesota Wild,2013/01/20  vs. DAL,DAL,1,40,47,-7,4,-11,0,-13,32,28,4,4,0,0,-5
Colorado Avalanche,2013/04/02  vs. NSH,NSH,1,42,55,-13,-8,-5,0,-8,29,43,-14,-10,-4,0,-10
Minnesota Wild,2013/03/05  vs. CHI,CHI,1,32,51,-19,-2,-8,-9,-12,27,37,-10,-3,-5,-2,-10
Chicago Blackhawks,2013/03/10  vs. EDM,EDM,1,53,32,21,-2,0,23,-4,39,24,15,-1,0,16,-2
Anaheim Ducks,2013/03/31  vs. CBJ,CBJ,1,50,26,24,21,0,3,22,37,20,17,16,0,1,15
Tampa Bay Lightning,2013/03/14  vs. NYI,NYI,1,40,47,-7,-14,0,7,-12,28,35,-7,-11,0,4,-7
Los Angeles Kings,2013/02/07  vs. NSH,NSH,1,57,19,38,1,0,37,14,39,15,24,0,0,24,7
Washington Capitals,2013/03/31  vs. PHI,PHI,1,48,40,8,2,2,4,15,34,29,5,2,3,0,8
Colorado Avalanche,2013/03/23  vs. DAL,DAL,1,61,40,21,0,0,21,2,41,28,13,0,0,13,2
Calgary Flames,2013/03/22  vs. CBJ,CBJ,1,40,42,-2,5,0,-7,-2,29,35,-6,2,0,-8,-4
Buffalo Sabres,2013/03/31  vs. BOS,BOS,1,42,52,-10,-9,0,-1,-9,32,39,-7,-5,0,-2,-5
Columbus Blue Jackets,2013/04/05  vs. STL,STL,1,39,30,9,-1,0,10,2,29,21,8,1,0,7,3
Columbus Blue Jackets,2013/03/22  vs. CGY,CGY,1,42,40,2,-5,7,0,2,35,29,6,-2,8,0,4
Los Angeles Kings,2013/04/11  vs. COL,COL,1,44,40,4,7,-3,0,8,35,33,2,8,-6,0,9
San Jose Sharks,2013/03/27  vs. ANA,ANA,1,42,54,-12,0,-12,0,3,31,26,5,0,5,0,2
Florida Panthers,2013/02/22  vs. PIT,PIT,1,36,47,-11,-9,1,-3,-8,29,38,-9,-9,1,-1,-8
Winnipeg Jets,2013/03/05  vs. FLA,FLA,1,47,41,6,-1,0,7,-10,41,33,8,0,0,8,-5
Buffalo Sabres,2013/03/16  vs. OTT,OTT,1,36,45,-9,4,-5,-8,-1,27,34,-7,3,-7,-3,-3
San Jose Sharks,2013/03/18  vs. ANA,ANA,1,58,35,23,16,0,7,14,43,29,14,9,0,5,6
Dallas Stars,2013/03/18  vs. CGY,CGY,1,44,38,6,16,-10,0,18,32,22,10,10,0,0,11
New Jersey Devils,2013/02/16  vs. NYI,NYI,1,44,37,7,3,0,4,2,29,30,-1,1,0,-2,0
Minnesota Wild,2013/02/28  vs. PHX,PHX,1,33,50,-17,-4,-13,0,-13,22,38,-16,-3,-13,0,-9
San Jose Sharks,2013/02/02  vs. NSH,NSH,1,34,34,0,6,0,-6,6,25,23,2,8,0,-6,8
Calgary Flames,2013/03/27  vs. COL,COL,1,37,42,-5,-1,-4,0,7,27,31,-4,-1,-3,0,0
New Jersey Devils,2013/04/25  vs. PIT,PIT,1,41,22,19,14,3,2,14,37,18,19,16,2,1,17
Columbus Blue Jackets,2013/04/27  vs. NSH,NSH,1,58,36,22,1,4,17,7,49,28,21,3,4,14,8
Los Angeles Kings,2013/04/27  vs. SJS,SJS,1,57,43,14,12,2,0,25,45,31,14,12,2,0,22
Colorado Avalanche,2013/01/19  vs. MIN,MIN,1,43,36,7,-1,9,-1,6,29,31,-2,-1,6,-7,3
St. Louis Blues,2013/04/23  vs. COL,COL,1,52,29,23,0,23,0,6,40,19,21,-2,23,0,5
Los Angeles Kings,2013/03/23  vs. VAN,VAN,1,40,19,21,2,0,19,15,31,16,15,2,0,13,8
Winnipeg Jets,2013/02/19  vs. BUF,BUF,1,50,48,2,0,2,0,1,36,32,4,0,4,0,2
Washington Capitals,2013/01/24  vs. MTL,MTL,1,47,24,23,8,0,15,9,34,18,16,6,0,10,7
Colorado Avalanche,2013/02/06  vs. ANA,ANA,1,61,40,21,-2,0,23,6,41,27,14,-1,0,15,5
Carolina Hurricanes,2013/04/20  vs. PHI,PHI,1,46,52,-6,-13,0,7,-12,37,47,-10,-13,0,3,-15
Carolina Hurricanes,2013/03/21  vs. NJD,NJD,1,45,40,5,1,0,4,-5,32,25,7,2,0,5,8
Columbus Blue Jackets,2013/03/29  vs. CGY,CGY,1,43,56,-13,2,-15,0,-1,32,38,-6,1,-7,0,0
Buffalo Sabres,2013/02/19  vs. WPG,WPG,1,48,50,-2,0,0,-2,-1,32,36,-4,0,0,-4,-2
Washington Capitals,2013/02/09  vs. FLA,FLA,1,46,40,6,1,5,0,0,31,23,8,0,8,0,0
Edmonton Oilers,2013/03/17  vs. NSH,NSH,1,33,43,-10,-4,-6,0,-6,22,35,-13,-9,-4,0,-9
Nashville Predators,2013/01/19  vs. CBJ,CBJ,1,49,36,13,7,6,0,13,40,28,12,8,4,0,12
Colorado Avalanche,2013/04/10  vs. ANA,ANA,1,44,36,8,1,7,0,3,30,23,7,0,7,0,0
San Jose Sharks,2013/01/27  vs. VAN,VAN,1,18,36,-18,0,-18,0,-3,12,25,-13,0,-13,0,-3
Nashville Predators,2013/02/10  vs. CHI,CHI,1,39,44,-5,-7,0,2,-8,26,33,-7,-7,0,0,-8
Edmonton Oilers,2013/04/03  vs. CGY,CGY,1,45,40,5,11,-4,-2,9,36,30,6,8,-3,1,9
Boston Bruins,2013/01/31  vs. BUF,BUF,1,61,41,20,17,2,1,18,41,35,6,5,0,1,6
San Jose Sharks,2013/04/27  vs. LAK,LAK,1,43,57,-14,-12,0,-2,-25,31,45,-14,-12,0,-2,-22
Chicago Blackhawks,2013/01/22  vs. STL,STL,1,36,49,-13,2,-15,0,-3,29,33,-4,3,-7,0,-1
Columbus Blue Jackets,2013/04/21  vs. SJS,SJS,1,45,64,-19,-6,-13,0,-6,28,46,-18,-9,-9,0,-5
Boston Bruins,2013/04/17  vs. BUF,BUF,1,61,26,35,4,31,0,26,49,21,28,6,22,0,22
Nashville Predators,2013/01/26  vs. ANA,ANA,1,31,45,-14,-1,-13,0,-15,22,31,-9,-3,-6,0,-10
Calgary Flames,2013/02/23  vs. MIN,MIN,1,41,46,-5,2,-7,0,-1,32,34,-2,5,-7,0,0
Nashville Predators,2013/03/25  vs. EDM,EDM,1,38,34,4,6,-3,1,4,26,25,1,1,-1,1,2
New York Rangers,2013/04/18  vs. FLA,FLA,1,47,50,-3,0,-3,0,7,39,38,1,1,0,0,6
Tampa Bay Lightning,2013/04/13  vs. WSH,WSH,1,54,39,15,3,0,12,-5,37,32,5,0,0,5,-8
New York Rangers,2013/03/24  vs. WSH,WSH,1,41,49,-8,3,0,-11,4,33,30,3,8,0,-5,11
Carolina Hurricanes,2013/02/09  vs. PHI,PHI,1,54,46,8,5,1,2,7,35,36,-1,1,1,-3,2
Minnesota Wild,2013/04/21  vs. CGY,CGY,1,53,39,14,7,0,7,9,40,27,13,8,0,5,9
Minnesota Wild,2013/03/20  vs. DET,DET,1,21,41,-20,1,-21,0,-3,15,34,-19,0,-19,0,-2
Washington Capitals,2013/03/22  vs. WPG,WPG,1,25,46,-21,-6,-15,0,-13,19,34,-15,-6,-9,0,-10
Los Angeles Kings,2013/03/25  vs. CHI,CHI,1,41,31,10,9,3,-2,11,36,24,12,11,2,-1,12
New York Rangers,2013/04/25  vs. CAR,CAR,1,57,34,23,3,7,13,4,41,23,18,2,8,8,4
Montreal Canadiens,2013/03/03  vs. BOS,BOS,1,38,52,-14,0,-15,1,-5,27,37,-10,1,-8,-3,-4
New Jersey Devils,2013/02/12  vs. CAR,CAR,1,32,27,5,2,-1,4,-1,27,19,8,4,0,4,2
New York Islanders,2013/02/14  vs. NYR,NYR,1,47,51,-4,-5,2,-1,-6,35,36,-1,-2,2,-1,-3
Vancouver Canucks,2013/04/18  vs. DAL,DAL,1,63,40,23,11,6,6,17,53,33,20,10,7,3,17
New Jersey Devils,2013/03/09  vs. CAR,CAR,1,51,32,19,-4,0,23,-3,37,26,11,-2,0,13,-1
Winnipeg Jets,2013/01/27  vs. NYI,NYI,1,59,59,0,4,-11,7,-6,47,43,4,2,-4,6,0
Chicago Blackhawks,2013/04/07  vs. NSH,NSH,1,60,33,27,10,18,-1,24,44,23,21,7,17,-3,18
Florida Panthers,2013/03/16  vs. NYI,NYI,1,60,48,12,4,0,8,3,44,31,13,4,0,9,2
Ottawa Senators,2013/03/25  vs. NJD,NJD,1,26,58,-32,-12,-20,0,-29,18,44,-26,-9,-17,0,-23
Nashville Predators,2013/02/02  vs. SJS,SJS,1,34,34,0,-6,6,0,-6,23,25,-2,-8,6,0,-8
New York Rangers,2013/03/19  vs. NJD,NJD,1,33,44,-11,-6,-5,0,-7,29,33,-4,-3,-1,0,-4
Buffalo Sabres,2013/01/25  vs. CAR,CAR,1,40,44,-4,-7,1,2,-7,33,41,-8,-9,1,0,-9
Florida Panthers,2013/03/08  vs. WPG,WPG,1,46,43,3,-2,0,5,0,39,28,11,5,0,6,8
Colorado Avalanche,2013/02/24  vs. ANA,ANA,1,45,45,0,4,-4,0,-4,28,35,-7,-2,-5,0,-9
New York Islanders,2013/03/22  vs. PIT,PIT,1,61,51,10,7,-1,4,6,44,32,12,11,-3,4,8
Columbus Blue Jackets,2013/03/09  vs. DET,DET,1,28,33,-5,3,-8,0,1,23,28,-5,2,-7,0,1
Pittsburgh Penguins,2013/02/05  vs. NYI,NYI,1,35,38,-3,-1,-2,0,-5,27,27,0,0,0,0,-4
Los Angeles Kings,2013/04/24  vs. DET,DET,1,32,58,-26,-23,-6,3,-29,28,47,-19,-17,-4,2,-21
Washington Capitals,2013/03/17  vs. BUF,BUF,1,45,42,3,3,0,0,2,29,32,-3,1,-4,0,0
New York Rangers,2013/02/14  vs. NYI,NYI,1,51,47,4,5,1,-2,6,36,35,1,2,1,-2,3
Vancouver Canucks,2013/01/23  vs. CGY,CGY,1,58,38,20,19,1,0,20,44,29,15,15,0,0,15
Colorado Avalanche,2013/03/18  vs. CHI,CHI,1,38,54,-16,1,0,-17,-3,24,38,-14,2,0,-16,-2
Toronto Maple Leafs,2013/04/10  vs. NYR,NYR,1,35,49,-14,-3,-1,-10,-11,29,33,-4,2,1,-7,-1
New York Islanders,2013/02/28  vs. TOR,TOR,1,52,51,1,-7,2,6,-3,36,37,-1,-6,1,4,-3
Toronto Maple Leafs,2013/02/19  vs. TBL,TBL,1,46,33,13,9,0,4,13,32,24,8,9,0,-1,6
Edmonton Oilers,2013/02/09  vs. DET,DET,1,30,48,-18,-11,0,-7,-11,23,34,-11,-11,0,0,-10
Phoenix Coyotes,2013/01/28  vs. NSH,NSH,1,36,40,-4,-1,-3,0,-2,29,30,-1,0,-1,0,-1
Boston Bruins,2013/03/03  vs. MTL,MTL,1,52,38,14,0,-1,15,5,37,27,10,-1,3,8,4
Anaheim Ducks,2013/04/01  vs. DAL,DAL,1,48,40,8,-1,9,0,0,35,31,4,-1,5,0,-1
Vancouver Canucks,2013/04/10  vs. CGY,CGY,1,43,52,-9,-13,1,3,-10,29,44,-15,-17,0,2,-15
Washington Capitals,2013/02/27  vs. PHI,PHI,1,40,61,-21,0,0,-21,-4,25,42,-17,0,0,-17,-4
Boston Bruins,2013/02/12  vs. NYR,NYR,1,45,30,15,5,0,10,9,26,23,3,5,0,-2,5
Phoenix Coyotes,2013/02/09  vs. SJS,SJS,1,38,53,-15,-15,0,0,-15,29,37,-8,-8,0,0,-8
Edmonton Oilers,2013/03/28  vs. CBJ,CBJ,1,42,52,-10,5,-3,-12,-2,29,38,-9,1,-3,-7,-2
Vancouver Canucks,2013/03/21  vs. PHX,PHX,1,32,47,-15,2,-17,0,-11,28,32,-4,4,-8,0,-1
Montreal Canadiens,2013/03/16  vs. NJD,NJD,1,29,46,-17,-9,-8,0,-16,24,32,-8,-5,-3,0,-9
Carolina Hurricanes,2013/04/25  vs. NYR,NYR,1,34,57,-23,-3,-13,-7,-4,23,41,-18,-2,-8,-8,-4
Detroit Red Wings,2013/04/22  vs. PHX,PHX,1,36,47,-11,0,-11,0,-6,30,38,-8,0,-8,0,-6
Boston Bruins,2013/03/25  vs. TOR,TOR,1,54,26,28,13,0,15,25,39,20,19,10,0,9,18
Dallas Stars,2013/04/09  vs. LAK,LAK,1,44,48,-4,-1,-4,1,0,33,36,-3,-2,-1,0,-2
Florida Panthers,2013/03/23  vs. NJD,NJD,1,43,37,6,9,0,-3,5,29,30,-1,5,0,-6,1
New York Rangers,2013/01/26  vs. TOR,TOR,1,53,29,24,3,9,12,11,42,20,22,4,7,11,11
Philadelphia Flyers,2013/02/09  vs. CAR,CAR,1,46,54,-8,-5,-2,-1,-7,36,35,1,-1,3,-1,-2
Philadelphia Flyers,2013/03/10  vs. BUF,BUF,1,33,30,3,7,-4,0,8,24,18,6,4,2,0,7
Carolina Hurricanes,2013/04/04  vs. TBL,TBL,1,78,48,30,14,0,16,18,60,39,21,10,0,11,10
Winnipeg Jets,2013/02/21  vs. CAR,CAR,1,46,46,0,2,-2,0,0,29,36,-7,-7,0,0,-7
Edmonton Oilers,2013/04/08  vs. ANA,ANA,1,38,50,-12,-3,0,-9,-12,33,34,-1,4,0,-5,-3
Buffalo Sabres,2013/02/10  vs. BOS,BOS,1,34,56,-22,-22,0,0,-23,27,40,-13,-9,0,-4,-12
Columbus Blue Jackets,2013/03/28  vs. EDM,EDM,1,52,42,10,-5,12,3,2,38,29,9,-1,7,3,2
Tampa Bay Lightning,2013/03/26  vs. BUF,BUF,1,26,34,-8,-5,-3,0,0,24,22,2,-2,4,0,5
New York Rangers,2013/01/19  vs. BOS,BOS,1,24,32,-8,-5,0,-3,-12,22,24,-2,-4,0,2,-5
Colorado Avalanche,2013/04/15  vs. CBJ,CBJ,1,53,55,-2,-1,1,-2,0,41,36,5,6,1,-2,7
Ottawa Senators,2013/03/08  vs. NYR,NYR,1,71,51,20,7,13,0,12,51,42,9,0,9,0,2
Toronto Maple Leafs,2013/02/04  vs. CAR,CAR,1,55,46,9,0,-4,13,1,43,38,5,1,-2,6,0
Toronto Maple Leafs,2013/03/25  vs. BOS,BOS,1,26,54,-28,-13,-15,0,-25,20,39,-19,-10,-9,0,-18
Detroit Red Wings,2013/03/03  vs. CHI,CHI,1,33,49,-16,-11,-5,0,-11,26,40,-14,-13,-1,0,-13
Chicago Blackhawks,2013/01/20  vs. PHX,PHX,1,48,42,6,1,1,4,5,35,35,0,-2,1,1,-1
Ottawa Senators,2013/04/28  vs. BOS,BOS,1,40,54,-14,-7,-7,0,-9,27,43,-16,-7,-9,0,-12
Anaheim Ducks,2013/03/18  vs. SJS,SJS,1,35,58,-23,-16,-7,0,-14,29,43,-14,-9,-5,0,-6
Columbus Blue Jackets,2013/02/23  vs. STL,STL,1,35,32,3,4,0,-1,2,19,26,-7,3,0,-10,-3
Detroit Red Wings,2013/02/19  vs. NSH,NSH,1,50,29,21,6,0,15,21,37,24,13,3,0,10,12
Tampa Bay Lightning,2013/04/09  vs. OTT,OTT,1,26,55,-29,-20,-7,-2,-26,21,41,-20,-14,-5,-1,-17
Minnesota Wild,2013/02/23  vs. CGY,CGY,1,46,41,5,-2,0,7,1,34,32,2,-5,0,7,0
New York Islanders,2013/01/24  vs. TOR,TOR,1,45,48,-3,1,2,-6,-5,39,35,4,2,7,-5,-3
Ottawa Senators,2013/02/18  vs. NJD,NJD,1,35,33,2,-1,0,3,3,33,27,6,0,0,6,5
Colorado Avalanche,2013/04/06  vs. PHX,PHX,1,35,49,-14,-4,0,-10,-8,26,41,-15,-2,0,-13,-9
Nashville Predators,2013/03/21  vs. CGY,CGY,1,32,43,-11,-1,-11,1,1,24,27,-3,1,-4,0,3
Toronto Maple Leafs,2013/02/18  vs. FLA,FLA,1,37,49,-12,-8,-4,0,-13,31,42,-11,-10,-1,0,-13
Tampa Bay Lightning,2013/04/16  vs. WPG,WPG,1,45,53,-8,8,0,-16,-5,32,41,-9,5,0,-14,-8
Minnesota Wild,2013/03/16  vs. COL,COL,1,45,40,5,-2,7,0,2,32,33,-1,-2,1,0,-1
Florida Panthers,2013/04/11  vs. WPG,WPG,1,44,47,-3,-4,0,1,-3,35,34,1,1,0,0,-1
New York Rangers,2013/03/30  vs. MTL,MTL,1,68,50,18,1,0,17,12,45,35,10,1,0,9,10
New York Rangers,2013/03/07  vs. NYI,NYI,1,70,51,19,2,0,17,16,53,33,20,0,0,20,17
Carolina Hurricanes,2013/02/01  vs. OTT,OTT,1,39,49,-10,4,-14,0,-3,32,36,-4,3,-7,0,-4
San Jose Sharks,2013/02/04  vs. ANA,ANA,1,42,39,3,2,3,-2,1,26,29,-3,-2,3,-4,-3
New Jersey Devils,2013/03/02  vs. BUF,BUF,1,39,29,10,10,1,-1,10,27,21,6,6,0,0,6
New York Rangers,2013/04/13  vs. NYI,NYI,1,29,57,-28,-28,0,0,-28,19,40,-21,-21,0,0,-21
Toronto Maple Leafs,2013/04/06  vs. NJD,NJD,1,27,41,-14,-2,-12,0,-9,21,31,-10,-1,-9,0,-5
Chicago Blackhawks,2013/01/27  vs. DET,DET,1,33,44,-11,-1,-10,0,-6,20,29,-9,-4,-5,0,-9
Florida Panthers,2013/04/02  vs. TBL,TBL,1,39,55,-16,-11,-5,0,-7,30,46,-16,-8,-8,0,-7
Dallas Stars,2013/03/16  vs. CHI,CHI,1,30,51,-21,-1,0,-20,-7,22,39,-17,1,0,-18,-4
Tampa Bay Lightning,2013/02/10  vs. NYR,NYR,1,31,54,-23,0,0,-23,-6,25,42,-17,0,0,-17,-4
Toronto Maple Leafs,2013/03/26  vs. FLA,FLA,1,46,71,-25,-13,-3,-9,-22,31,52,-21,-9,-1,-11,-20
Detroit Red Wings,2013/02/23  vs. NSH,NSH,1,35,54,-19,-3,-16,0,-8,29,45,-16,-2,-14,0,-10
Colorado Avalanche,2013/02/28  vs. CGY,CGY,1,47,38,9,2,0,7,4,33,26,7,2,1,4,4
Philadelphia Flyers,2013/02/12  vs. WPG,WPG,1,34,43,-9,-5,-4,0,-5,22,34,-12,-4,-8,0,-8
Detroit Red Wings,2013/01/19  vs. STL,STL,1,26,50,-24,-4,0,-20,-14,18,40,-22,-2,0,-20,-10
New York Islanders,2013/02/16  vs. NJD,NJD,1,37,44,-7,-3,-4,0,-2,30,29,1,-1,2,0,0
Phoenix Coyotes,2013/02/28  vs. MIN,MIN,1,50,33,17,4,0,13,13,38,22,16,3,0,13,9
Tampa Bay Lightning,2013/02/16  vs. FLA,FLA,1,49,41,8,-3,3,8,5,44,38,6,-3,1,8,3
New Jersey Devils,2013/02/09  vs. PIT,PIT,1,27,16,11,0,0,11,11,21,15,6,-1,0,7,6
St. Louis Blues,2013/03/23  vs. EDM,EDM,1,50,28,22,3,19,0,21,33,20,13,2,11,0,10
