Team,Game,Opp Team,GP,W,L,T,OT,P,GF,GA,SF,SA,PPG,PP Opp,PP%,TS,PPGA,PK%,FOW,FOL,FOW%
Columbus Blue Jackets,2013/03/19  vs. NSH,NSH,1,1,0,0,0,2,4,3,31,35,1,3,33.3,1,0,100,36,23,61
Florida Panthers,2013/04/25  vs. TOR,TOR,1,0,1,0,0,0,0,4,34,17,0,3,0,1,0,100,25,27,48.1
Dallas Stars,2013/03/12  vs. NSH,NSH,1,0,1,0,0,0,0,4,32,21,0,4,0,4,2,50,32,35,47.8
Chicago Blackhawks,2013/03/03  @ DET,DET,1,1,0,0,0,2,1,1,33,33,1,4,25,2,0,100,27,28,49.1
Colorado Avalanche,2013/04/06  @ PHX,PHX,1,0,1,0,0,0,0,4,24,28,0,4,0,4,1,75,25,25,50
Chicago Blackhawks,2013/04/27  @ STL,STL,1,0,1,0,0,0,1,3,23,28,0,2,0,2,0,100,26,33,44.1
Buffalo Sabres,2013/03/07  @ NJD,NJD,1,0,0,0,1,1,2,2,25,33,1,3,33.3,3,1,66.7,25,29,46.3
Chicago Blackhawks,2013/01/19  @ LAK,LAK,1,1,0,0,0,2,5,2,22,21,1,5,20,5,0,100,31,32,49.2
Carolina Hurricanes,2013/03/09  vs. NJD,NJD,1,1,0,0,0,2,6,3,22,34,1,3,33.3,2,0,100,27,32,45.8
Dallas Stars,2013/02/25  @ NSH,NSH,1,0,0,0,1,1,4,5,24,31,2,4,50,4,1,75,26,31,45.6
New Jersey Devils,2013/03/13  vs. PHI,PHI,1,1,0,0,0,2,5,2,32,25,1,6,16.7,4,1,75,30,26,53.6
Colorado Avalanche,2013/02/23  @ LAK,LAK,1,0,1,0,0,0,1,4,24,26,1,4,25,1,0,100,28,27,50.9
Los Angeles Kings,2013/04/27  vs. SJS,SJS,1,1,0,0,0,2,3,2,27,25,0,1,0,0,0,0,35,23,60.3
Carolina Hurricanes,2013/04/06  vs. NYR,NYR,1,0,1,0,0,0,1,4,49,39,0,5,0,5,2,60,36,35,50.7
Tampa Bay Lightning,2013/03/18  vs. PHI,PHI,1,1,0,0,0,2,4,2,27,30,0,4,0,4,0,100,34,26,56.7
Winnipeg Jets,2013/03/08  @ FLA,FLA,1,1,0,0,0,2,3,2,28,40,0,1,0,4,0,100,25,32,43.9
Buffalo Sabres,2013/02/07  vs. MTL,MTL,1,1,0,0,0,2,4,4,40,32,1,7,14.3,4,1,75,34,29,54
Anaheim Ducks,2013/02/06  @ COL,COL,1,1,0,0,0,2,3,0,20,31,1,3,33.3,1,0,100,27,36,42.9
Tampa Bay Lightning,2013/01/19  vs. WSH,WSH,1,1,0,0,0,2,6,3,34,30,3,7,42.9,4,1,75,40,34,54.1
Dallas Stars,2013/04/15  @ CHI,CHI,1,0,1,0,0,0,2,5,18,28,0,2,0,4,0,100,29,37,43.9
Carolina Hurricanes,2013/04/21  @ TBL,TBL,1,1,0,0,0,2,3,2,28,37,0,4,0,2,1,50,27,37,42.2
Calgary Flames,2013/02/11  vs. MIN,MIN,1,0,0,0,1,1,1,1,24,24,0,2,0,4,0,100,33,30,52.4
Tampa Bay Lightning,2013/03/26  vs. BUF,BUF,1,1,0,0,0,2,2,1,25,14,1,5,20,4,0,100,34,17,66.7
Nashville Predators,2013/03/30  @ COL,COL,1,0,0,0,1,1,0,1,34,24,0,6,0,1,0,100,26,31,45.6
Winnipeg Jets,2013/03/19  vs. BOS,BOS,1,1,0,0,0,2,3,1,25,28,1,2,50,4,0,100,24,27,47.1
New York Islanders,2013/02/19  @ OTT,OTT,1,0,1,0,0,0,1,3,38,26,0,4,0,5,1,80,26,24,52
San Jose Sharks,2013/03/30  vs. PHX,PHX,1,1,0,0,0,2,2,2,34,29,1,2,50,1,0,100,31,32,49.2
Florida Panthers,2013/03/28  vs. BUF,BUF,1,1,0,0,0,2,4,4,40,40,2,5,40,4,1,75,35,27,56.5
Minnesota Wild,2013/03/20  @ DET,DET,1,1,0,0,0,2,4,2,19,38,2,3,66.7,5,1,80,33,28,54.1
Vancouver Canucks,2013/03/02  vs. LAK,LAK,1,1,0,0,0,2,5,2,24,30,0,2,0,4,1,75,22,36,37.9
Los Angeles Kings,2013/02/15  vs. CBJ,CBJ,1,1,0,0,0,2,2,1,22,13,1,5,20,4,0,100,23,24,48.9
Ottawa Senators,2013/03/11  vs. BOS,BOS,1,0,0,0,1,1,2,2,32,35,0,2,0,3,0,100,32,31,50.8
St. Louis Blues,2013/02/05  vs. NSH,NSH,1,0,1,0,0,0,1,6,32,19,1,5,20,2,1,50,36,34,51.4
Ottawa Senators,2013/02/18  @ NJD,NJD,1,1,0,0,0,2,1,1,30,31,0,2,0,3,0,100,33,28,54.1
Anaheim Ducks,2013/01/25  vs. VAN,VAN,1,0,1,0,0,0,0,5,30,34,0,2,0,9,3,66.7,32,36,47.1
Minnesota Wild,2013/02/26  vs. CGY,CGY,1,1,0,0,0,2,2,1,30,21,1,7,14.3,7,1,85.7,40,23,63.5
Minnesota Wild,2013/04/09  vs. CHI,CHI,1,0,1,0,0,0,0,1,20,31,0,1,0,2,0,100,26,28,48.1
Washington Capitals,2013/01/29  @ OTT,OTT,1,0,1,0,0,0,2,3,33,27,0,2,0,4,1,75,33,28,54.1
Winnipeg Jets,2013/04/09  vs. BUF,BUF,1,1,0,0,0,2,4,1,30,30,0,1,0,3,0,100,31,24,56.4
Vancouver Canucks,2013/03/07  @ CBJ,CBJ,1,0,0,0,1,1,1,2,35,27,0,1,0,3,0,100,29,33,46.8
Winnipeg Jets,2013/02/19  @ BUF,BUF,1,1,0,0,0,2,2,1,28,30,0,1,0,3,0,100,26,27,49.1
Nashville Predators,2013/04/25  @ DET,DET,1,0,1,0,0,0,2,5,22,38,1,5,20,4,1,75,25,32,43.9
Montreal Canadiens,2013/02/14  @ FLA,FLA,1,1,0,0,0,2,1,0,32,26,0,3,0,2,0,100,22,26,45.8
Los Angeles Kings,2013/03/05  vs. STL,STL,1,1,0,0,0,2,6,4,29,14,0,6,0,3,0,100,31,25,55.4
Carolina Hurricanes,2013/03/05  vs. BUF,BUF,1,1,0,0,0,2,4,3,28,40,1,3,33.3,3,1,66.7,37,30,55.2
St. Louis Blues,2013/02/13  @ DET,DET,1,1,0,0,0,2,4,3,25,18,1,3,33.3,4,0,100,23,31,42.6
Edmonton Oilers,2013/04/13  vs. CGY,CGY,1,0,1,0,0,0,1,4,29,38,0,3,0,5,1,80,28,18,60.9
Winnipeg Jets,2013/04/06  vs. PHI,PHI,1,1,0,0,0,2,4,1,25,31,0,3,0,3,0,100,33,28,54.1
Florida Panthers,2013/01/21  @ OTT,OTT,1,0,1,0,0,0,0,4,31,37,0,3,0,4,1,75,29,37,43.9
Buffalo Sabres,2013/04/09  @ WPG,WPG,1,0,1,0,0,0,1,4,30,30,0,3,0,1,0,100,24,31,43.6
Toronto Maple Leafs,2013/02/04  vs. CAR,CAR,1,0,1,0,0,0,1,4,42,39,0,5,0,4,2,50,45,37,54.9
San Jose Sharks,2013/03/25  @ ANA,ANA,1,1,0,0,0,2,5,3,39,27,0,5,0,2,0,100,39,40,49.4
Montreal Canadiens,2013/03/30  vs. NYR,NYR,1,1,0,0,0,2,3,0,26,34,1,2,50,1,0,100,31,32,49.2
Florida Panthers,2013/02/14  vs. MTL,MTL,1,0,0,0,1,1,0,1,26,32,0,2,0,3,0,100,26,22,54.2
Philadelphia Flyers,2013/01/26  @ FLA,FLA,1,1,0,0,0,2,7,1,26,31,2,7,28.6,4,0,100,25,38,39.7
Minnesota Wild,2013/04/27  @ COL,COL,1,1,0,0,0,2,3,1,33,30,1,3,33.3,1,0,100,24,26,48
New York Rangers,2013/02/07  vs. NYI,NYI,1,1,0,0,0,2,4,1,25,28,1,2,50,5,0,100,25,23,52.1
Colorado Avalanche,2013/04/27  vs. MIN,MIN,1,0,1,0,0,0,1,3,30,33,0,1,0,3,1,66.7,26,24,52
Edmonton Oilers,2013/03/20  vs. SJS,SJS,1,0,0,0,1,1,3,3,27,34,1,5,20,2,1,50,31,38,44.9
Buffalo Sabres,2013/04/19  vs. NYR,NYR,1,0,1,0,0,0,4,8,28,29,2,4,50,1,0,100,26,33,44.1
Edmonton Oilers,2013/04/27  vs. VAN,VAN,1,1,0,0,0,2,7,2,37,30,1,4,25,3,1,66.7,36,31,53.7
Nashville Predators,2013/02/27  @ ANA,ANA,1,0,1,0,0,0,1,5,21,28,0,2,0,3,2,33.3,35,23,60.3
Philadelphia Flyers,2013/02/20  @ PIT,PIT,1,1,0,0,0,2,6,5,32,32,1,6,16.7,7,2,71.4,20,41,32.8
Washington Capitals,2013/01/25  @ NJD,NJD,1,0,0,0,1,1,2,3,28,35,1,8,12.5,6,1,83.3,28,33,45.9
Washington Capitals,2013/03/12  vs. CAR,CAR,1,0,1,0,0,0,0,4,26,36,0,2,0,3,0,100,27,35,43.5
Buffalo Sabres,2013/04/14  vs. TBL,TBL,1,1,0,0,0,2,3,1,22,33,1,3,33.3,1,0,100,30,28,51.7
Winnipeg Jets,2013/04/11  vs. FLA,FLA,1,1,0,0,0,2,7,2,35,27,1,5,20,2,0,100,26,21,55.3
Vancouver Canucks,2013/01/20  vs. EDM,EDM,1,0,0,0,1,1,2,2,29,32,0,5,0,4,1,75,29,37,43.9
Chicago Blackhawks,2013/03/25  vs. LAK,LAK,1,0,1,0,0,0,4,5,25,36,0,4,0,2,0,100,36,37,49.3
New York Rangers,2013/02/17  vs. WSH,WSH,1,1,0,0,0,2,2,1,40,28,1,5,20,4,0,100,27,31,46.6
Los Angeles Kings,2013/03/21  vs. DAL,DAL,1,0,1,0,0,0,0,2,40,21,0,3,0,2,0,100,37,24,60.7
Toronto Maple Leafs,2013/04/18  vs. NYI,NYI,1,0,1,0,0,0,3,5,21,38,2,4,50,5,1,80,27,36,42.9
Vancouver Canucks,2013/04/10  @ CGY,CGY,1,1,0,0,0,2,4,1,29,41,1,4,25,4,0,100,38,32,54.3
St. Louis Blues,2013/04/18  vs. PHX,PHX,1,1,0,0,0,2,1,1,30,34,0,2,0,3,1,66.7,33,23,58.9
New Jersey Devils,2013/03/25  @ OTT,OTT,1,0,0,0,1,1,2,2,34,14,0,1,0,1,0,100,27,30,47.4
Chicago Blackhawks,2013/01/30  @ MIN,MIN,1,0,0,0,1,1,2,2,32,25,0,2,0,4,0,100,32,34,48.5
Buffalo Sabres,2013/04/13  vs. PHI,PHI,1,1,0,0,0,2,1,0,21,29,0,1,0,3,0,100,37,25,59.7
Ottawa Senators,2013/01/29  vs. WSH,WSH,1,1,0,0,0,2,3,2,27,33,1,4,25,2,0,100,28,33,45.9
New York Rangers,2013/03/26  @ PHI,PHI,1,1,0,0,0,2,5,2,31,34,1,3,33.3,1,1,0,41,25,62.1
Montreal Canadiens,2013/01/27  vs. NJD,NJD,1,1,0,0,0,2,4,3,32,25,1,5,20,4,1,75,21,38,35.6
Los Angeles Kings,2013/03/18  vs. PHX,PHX,1,1,0,0,0,2,4,0,29,27,2,6,33.3,4,0,100,28,32,46.7
Boston Bruins,2013/02/24  @ FLA,FLA,1,1,0,0,0,2,4,1,32,35,1,1,100,4,0,100,30,26,53.6
Edmonton Oilers,2013/03/26  @ STL,STL,1,1,0,0,0,2,3,0,19,43,0,0,0,2,0,100,23,30,43.4
Columbus Blue Jackets,2013/03/09  vs. DET,DET,1,1,0,0,0,2,3,0,24,30,1,6,16.7,3,0,100,34,17,66.7
Tampa Bay Lightning,2013/03/05  @ NJD,NJD,1,1,0,0,0,2,5,2,25,27,0,2,0,2,1,50,33,21,61.1
Buffalo Sabres,2013/03/30  vs. WSH,WSH,1,0,0,0,1,1,3,3,23,38,1,2,50,4,1,75,29,32,47.5
Nashville Predators,2013/02/10  vs. CHI,CHI,1,0,1,0,0,0,0,3,17,27,0,1,0,2,0,100,29,20,59.2
Washington Capitals,2013/03/21  @ WPG,WPG,1,1,0,0,0,2,4,0,25,20,1,3,33.3,3,0,100,23,26,46.9
San Jose Sharks,2013/04/23  vs. DAL,DAL,1,1,0,0,0,2,3,2,37,26,1,2,50,3,1,66.7,31,22,58.5
Montreal Canadiens,2013/02/23  vs. NYR,NYR,1,1,0,0,0,2,3,0,18,17,1,4,25,2,0,100,26,33,44.1
Winnipeg Jets,2013/04/01  @ NYR,NYR,1,0,1,0,0,0,2,4,28,35,0,5,0,1,0,100,29,21,58
Columbus Blue Jackets,2013/04/18  @ LAK,LAK,1,0,1,0,0,0,1,2,21,23,0,2,0,2,1,50,25,22,53.2
Calgary Flames,2013/02/24  vs. PHX,PHX,1,1,0,0,0,2,5,4,31,27,0,3,0,5,1,80,30,40,42.9
Tampa Bay Lightning,2013/04/02  vs. FLA,FLA,1,0,0,0,1,1,2,2,41,25,0,3,0,3,2,33.3,32,33,49.2
Montreal Canadiens,2013/03/16  @ NJD,NJD,1,1,0,0,0,2,2,1,22,33,0,3,0,3,1,66.7,46,34,57.5
Anaheim Ducks,2013/03/04  @ PHX,PHX,1,0,0,0,1,1,4,4,31,40,1,2,50,4,1,75,36,41,46.8
Chicago Blackhawks,2013/04/12  vs. DET,DET,1,1,0,0,0,2,2,2,28,29,0,3,0,5,1,80,37,22,62.7
Philadelphia Flyers,2013/04/15  @ MTL,MTL,1,1,0,0,0,2,7,3,33,28,2,6,33.3,6,2,66.7,34,25,57.6
Chicago Blackhawks,2013/03/26  vs. CGY,CGY,1,1,0,0,0,2,2,0,35,16,0,5,0,4,0,100,31,32,49.2
Los Angeles Kings,2013/03/16  vs. SJS,SJS,1,1,0,0,0,2,5,2,24,22,0,1,0,2,1,50,26,29,47.3
Calgary Flames,2013/02/13  vs. DAL,DAL,1,1,0,0,0,2,7,4,23,34,2,2,100,4,2,50,37,40,48.1
Nashville Predators,2013/04/09  vs. STL,STL,1,0,1,0,0,0,0,1,15,26,0,0,0,1,0,100,28,16,63.6
Toronto Maple Leafs,2013/03/16  vs. WPG,WPG,1,0,0,0,1,1,4,4,32,33,0,2,0,2,0,100,33,20,62.3
St. Louis Blues,2013/01/27  vs. MIN,MIN,1,1,0,0,0,2,5,4,34,16,0,5,0,3,2,33.3,38,31,55.1
Columbus Blue Jackets,2013/02/11  vs. SJS,SJS,1,1,0,0,0,2,6,2,36,27,2,4,50,3,1,66.7,31,24,56.4
New York Rangers,2013/01/24  @ PHI,PHI,1,0,1,0,0,0,1,2,19,33,1,4,25,3,1,66.7,33,27,55
Dallas Stars,2013/04/23  @ SJS,SJS,1,0,1,0,0,0,2,3,26,37,1,3,33.3,2,1,50,22,31,41.5
Montreal Canadiens,2013/03/19  vs. BUF,BUF,1,0,0,0,1,1,2,3,34,21,0,2,0,4,1,75,35,30,53.8
Los Angeles Kings,2013/01/22  @ COL,COL,1,0,1,0,0,0,1,3,29,31,0,6,0,4,1,75,29,31,48.3
Buffalo Sabres,2013/02/02  @ MTL,MTL,1,0,1,0,0,0,1,6,31,32,0,6,0,8,2,75,30,37,44.8
Phoenix Coyotes,2013/04/22  @ DET,DET,1,0,1,0,0,0,0,4,34,23,0,4,0,5,3,40,28,27,50.9
Detroit Red Wings,2013/04/14  @ NSH,NSH,1,1,0,0,0,2,3,0,32,22,0,2,0,2,0,100,27,26,50.9
Tampa Bay Lightning,2013/01/25  vs. OTT,OTT,1,1,0,0,0,2,6,4,31,36,1,4,25,4,1,75,39,34,53.4
Colorado Avalanche,2013/03/27  @ CGY,CGY,1,0,1,0,0,0,3,4,30,27,1,5,20,3,1,66.7,39,30,56.5
Phoenix Coyotes,2013/02/01  @ DAL,DAL,1,0,0,0,1,1,3,3,34,24,0,3,0,2,0,100,27,30,47.4
Ottawa Senators,2013/03/13  @ MTL,MTL,1,0,0,0,1,1,3,3,32,45,2,3,66.7,5,2,60,42,38,52.5
San Jose Sharks,2013/02/28  vs. DET,DET,1,0,0,0,1,1,1,1,26,34,0,1,0,2,0,100,30,26,53.6
Calgary Flames,2013/03/06  vs. SJS,SJS,1,1,0,0,0,2,4,1,26,33,0,3,0,4,0,100,35,39,47.3
Calgary Flames,2013/03/29  vs. CBJ,CBJ,1,0,1,0,0,0,4,6,33,25,1,4,25,1,0,100,20,39,33.9
New York Islanders,2013/04/06  vs. TBL,TBL,1,1,0,0,0,2,4,2,28,21,0,1,0,3,0,100,22,21,51.2
St. Louis Blues,2013/03/19  @ VAN,VAN,1,0,1,0,0,0,2,3,34,19,0,3,0,2,0,100,32,28,53.3
Chicago Blackhawks,2013/03/08  @ COL,COL,1,0,1,0,0,0,2,6,33,31,0,2,0,4,2,50,19,36,34.5
Los Angeles Kings,2013/03/07  vs. DAL,DAL,1,0,1,0,0,0,2,5,33,22,0,1,0,3,2,33.3,41,19,68.3
Winnipeg Jets,2013/02/15  vs. PIT,PIT,1,0,1,0,0,0,1,3,26,28,0,2,0,3,1,66.7,26,30,46.4
Buffalo Sabres,2013/03/26  @ TBL,TBL,1,0,1,0,0,0,1,2,14,25,0,4,0,5,1,80,17,34,33.3
Vancouver Canucks,2013/03/12  @ CBJ,CBJ,1,1,0,0,0,2,1,1,38,27,0,2,0,2,0,100,23,28,45.1
Colorado Avalanche,2013/02/28  vs. CGY,CGY,1,1,0,0,0,2,5,4,36,23,0,5,0,5,1,80,42,33,56
St. Louis Blues,2013/02/07  vs. DET,DET,1,0,1,0,0,0,1,5,27,29,1,3,33.3,1,0,100,33,31,51.6
Boston Bruins,2013/02/02  @ TOR,TOR,1,1,0,0,0,2,1,0,34,21,0,2,0,3,0,100,35,29,54.7
Anaheim Ducks,2013/03/18  vs. SJS,SJS,1,1,0,0,0,2,5,3,28,35,0,1,0,3,0,100,35,23,60.3
New Jersey Devils,2013/01/22  vs. PHI,PHI,1,1,0,0,0,2,3,0,26,24,1,7,14.3,6,0,100,26,29,47.3
Anaheim Ducks,2013/04/03  vs. DAL,DAL,1,1,0,0,0,2,5,2,27,25,1,1,100,0,0,0,30,31,49.2
Pittsburgh Penguins,2013/03/02  @ MTL,MTL,1,1,0,0,0,2,7,6,36,39,1,2,50,3,0,100,32,33,49.2
Colorado Avalanche,2013/02/26  @ SJS,SJS,1,0,0,0,1,1,2,2,27,41,0,2,0,5,0,100,35,33,51.5
Vancouver Canucks,2013/02/21  @ DAL,DAL,1,1,0,0,0,2,4,3,22,25,1,5,20,5,0,100,33,26,55.9
Calgary Flames,2013/03/09  @ LAK,LAK,1,0,1,0,0,0,2,6,19,24,1,4,25,1,1,0,36,32,52.9
San Jose Sharks,2013/02/22  @ CHI,CHI,1,0,1,0,0,0,1,2,27,34,0,4,0,2,0,100,27,33,45
Nashville Predators,2013/02/12  vs. SJS,SJS,1,1,0,0,0,2,1,0,25,25,0,2,0,6,0,100,35,22,61.4
Anaheim Ducks,2013/02/01  vs. MIN,MIN,1,1,0,0,0,2,3,1,31,27,1,2,50,1,0,100,25,30,45.5
New Jersey Devils,2013/03/19  vs. NYR,NYR,1,0,1,0,0,0,2,3,31,22,1,4,25,2,0,100,36,26,58.1
Philadelphia Flyers,2013/04/25  vs. NYI,NYI,1,1,0,0,0,2,2,1,30,22,1,3,33.3,1,0,100,29,26,52.7
Calgary Flames,2013/04/21  @ MIN,MIN,1,1,0,0,0,2,4,1,24,35,3,3,100,3,0,100,25,36,41
Montreal Canadiens,2013/01/24  @ WSH,WSH,1,1,0,0,0,2,4,1,22,31,2,6,33.3,4,0,100,25,30,45.5
Colorado Avalanche,2013/04/01  @ DET,DET,1,0,1,0,0,0,2,3,24,20,1,3,33.3,2,1,50,29,25,53.7
Tampa Bay Lightning,2013/02/12  vs. MTL,MTL,1,0,0,0,1,1,3,3,24,34,1,5,20,7,1,85.7,39,33,54.2
Columbus Blue Jackets,2013/02/21  @ DET,DET,1,1,0,0,0,2,3,2,24,30,1,3,33.3,4,0,100,22,27,44.9
New Jersey Devils,2013/04/18  @ PHI,PHI,1,1,0,0,0,2,3,0,31,23,0,3,0,2,0,100,31,27,53.4
Phoenix Coyotes,2013/03/06  @ ANA,ANA,1,0,1,0,0,0,0,2,18,24,0,3,0,1,0,100,19,27,41.3
Florida Panthers,2013/03/30  vs. NJD,NJD,1,1,0,0,0,2,3,2,30,26,1,3,33.3,4,1,75,26,34,43.3
Anaheim Ducks,2013/02/15  @ DET,DET,1,1,0,0,0,2,5,2,37,28,0,3,0,4,1,75,22,30,42.3
Toronto Maple Leafs,2013/01/24  vs. NYI,NYI,1,0,1,0,0,0,4,7,43,34,0,5,0,2,1,50,27,34,44.3
Buffalo Sabres,2013/02/09  @ NYI,NYI,1,1,0,0,0,2,3,2,15,43,0,2,0,3,0,100,27,29,48.2
Toronto Maple Leafs,2013/02/09  @ MTL,MTL,1,1,0,0,0,2,6,0,28,37,2,6,33.3,4,0,100,48,23,67.6
Boston Bruins,2013/03/21  @ OTT,OTT,1,1,0,0,0,2,2,1,29,28,0,2,0,0,0,0,34,27,55.7
Colorado Avalanche,2013/03/06  @ CHI,CHI,1,0,1,0,0,0,2,3,22,32,0,2,0,3,1,66.7,25,22,53.2
Washington Capitals,2013/02/21  vs. NJD,NJD,1,0,1,0,0,0,2,3,19,37,2,4,50,6,1,83.3,38,27,58.5
San Jose Sharks,2013/02/11  @ CBJ,CBJ,1,0,1,0,0,0,2,6,27,36,1,3,33.3,4,2,50,24,31,43.6
Detroit Red Wings,2013/01/25  vs. MIN,MIN,1,1,0,0,0,2,5,3,27,26,2,5,40,8,1,87.5,35,33,51.5
Philadelphia Flyers,2013/04/18  vs. NJD,NJD,1,0,1,0,0,0,0,3,23,31,0,2,0,3,0,100,27,31,46.6
San Jose Sharks,2013/01/20  @ CGY,CGY,1,1,0,0,0,2,4,1,29,32,2,6,33.3,3,1,66.7,42,27,60.9
Florida Panthers,2013/04/06  vs. WSH,WSH,1,0,1,0,0,0,3,4,30,31,1,2,50,5,3,40,26,29,47.3
New Jersey Devils,2013/04/10  vs. BOS,BOS,1,0,1,0,0,0,4,5,28,18,0,7,0,3,1,66.7,25,36,41
Carolina Hurricanes,2013/04/13  vs. BOS,BOS,1,1,0,0,0,2,4,2,38,30,2,3,66.7,3,0,100,29,37,43.9
Minnesota Wild,2013/03/30  vs. LAK,LAK,1,1,0,0,0,2,3,3,28,31,1,4,25,2,2,0,29,25,53.7
Vancouver Canucks,2013/03/05  vs. SJS,SJS,1,0,0,0,1,1,2,2,38,30,0,5,0,3,0,100,31,36,46.3
Toronto Maple Leafs,2013/04/24  @ TBL,TBL,1,0,1,0,0,0,2,5,28,26,0,2,0,2,0,100,26,30,46.4
Pittsburgh Penguins,2013/03/09  @ TOR,TOR,1,1,0,0,0,2,4,4,41,26,0,4,0,3,2,33.3,25,38,39.7
Chicago Blackhawks,2013/03/14  @ CBJ,CBJ,1,1,0,0,0,2,1,1,40,30,0,1,0,2,1,50,33,30,52.4
Philadelphia Flyers,2013/04/20  @ CAR,CAR,1,1,0,0,0,2,5,3,38,29,0,4,0,3,0,100,37,28,56.9
Edmonton Oilers,2013/03/03  @ MIN,MIN,1,0,1,0,0,0,2,4,21,43,0,1,0,3,1,66.7,22,30,42.3
Edmonton Oilers,2013/02/04  vs. VAN,VAN,1,0,0,0,1,1,2,3,25,40,1,4,25,4,0,100,19,44,30.2
Florida Panthers,2013/02/03  @ BUF,BUF,1,1,0,0,0,2,4,3,33,20,1,2,50,1,0,100,35,26,57.4
New Jersey Devils,2013/01/25  vs. WSH,WSH,1,1,0,0,0,2,3,2,35,28,1,6,16.7,8,1,87.5,33,28,54.1
Boston Bruins,2013/04/13  @ CAR,CAR,1,0,1,0,0,0,2,4,30,38,0,3,0,3,2,33.3,37,29,56.1
Detroit Red Wings,2013/04/24  vs. LAK,LAK,1,1,0,0,0,2,3,1,36,24,1,4,25,3,0,100,33,21,61.1
Washington Capitals,2013/03/09  @ NYI,NYI,1,0,1,0,0,0,2,5,24,45,1,3,33.3,6,2,66.7,29,33,46.8
Ottawa Senators,2013/02/16  @ TOR,TOR,1,0,1,0,0,0,0,3,34,29,0,4,0,2,0,100,25,20,55.6
Colorado Avalanche,2013/01/22  vs. LAK,LAK,1,1,0,0,0,2,3,1,31,29,1,4,25,6,0,100,31,29,51.7
Montreal Canadiens,2013/02/21  vs. NYI,NYI,1,0,0,0,1,1,3,4,33,25,1,4,25,4,2,50,36,33,52.2
Columbus Blue Jackets,2013/03/05  vs. EDM,EDM,1,1,0,0,0,2,3,3,38,29,1,4,25,3,0,100,38,24,61.3
Carolina Hurricanes,2013/02/01  vs. OTT,OTT,1,1,0,0,0,2,1,0,35,33,0,4,0,4,0,100,35,28,55.6
Detroit Red Wings,2013/04/27  @ DAL,DAL,1,1,0,0,0,2,3,0,37,17,0,4,0,3,0,100,27,26,50.9
Columbus Blue Jackets,2013/02/23  @ STL,STL,1,0,1,0,0,0,1,2,20,23,0,4,0,2,0,100,23,21,52.3
Boston Bruins,2013/04/28  vs. OTT,OTT,1,0,1,0,0,0,2,4,36,22,1,2,50,2,0,100,36,21,63.1
Boston Bruins,2013/04/02  vs. OTT,OTT,1,1,0,0,0,2,3,2,50,47,0,3,0,3,0,100,28,26,51.8
Edmonton Oilers,2013/02/16  vs. COL,COL,1,1,0,0,0,2,6,4,56,29,2,4,50,4,1,75,33,30,52.4
Buffalo Sabres,2013/03/02  vs. NJD,NJD,1,1,0,0,0,2,3,3,23,31,0,6,0,5,0,100,48,33,59.3
Anaheim Ducks,2013/03/12  @ MIN,MIN,1,1,0,0,0,2,2,1,21,31,0,3,0,5,1,80,23,36,39
St. Louis Blues,2013/03/24  @ CGY,CGY,1,0,1,0,0,0,2,3,38,17,0,4,0,3,1,66.7,36,32,52.9
Toronto Maple Leafs,2013/04/15  vs. NJD,NJD,1,1,0,0,0,2,2,0,13,32,1,3,33.3,4,0,100,30,29,50.8
San Jose Sharks,2013/04/16  vs. LAK,LAK,1,1,0,0,0,2,2,2,35,43,0,3,0,3,1,66.7,37,38,49.3
New Jersey Devils,2013/04/23  vs. MTL,MTL,1,1,0,0,0,2,3,2,24,21,2,4,50,4,1,75,24,35,40.7
Toronto Maple Leafs,2013/03/25  @ BOS,BOS,1,0,0,0,1,1,2,2,25,29,1,3,33.3,1,0,100,26,44,37.1
Minnesota Wild,2013/04/04  @ LAK,LAK,1,0,1,0,0,0,0,3,23,14,0,1,0,2,0,100,25,23,52.1
Winnipeg Jets,2013/03/17  @ OTT,OTT,1,0,1,0,0,0,1,4,26,42,0,3,0,4,2,50,27,26,50.9
New Jersey Devils,2013/04/27  @ NYR,NYR,1,0,1,0,0,0,0,4,20,21,0,4,0,6,0,100,26,21,55.3
Winnipeg Jets,2013/01/21  @ BOS,BOS,1,0,0,0,1,1,1,1,27,27,0,4,0,2,0,100,30,37,44.8
Detroit Red Wings,2013/04/20  @ VAN,VAN,1,0,0,0,1,1,1,1,34,14,0,3,0,4,1,75,24,22,52.2
San Jose Sharks,2013/04/27  @ LAK,LAK,1,0,1,0,0,0,2,3,25,27,0,0,0,1,0,100,23,35,39.7
Minnesota Wild,2013/01/19  vs. COL,COL,1,1,0,0,0,2,4,2,35,27,2,7,28.6,3,0,100,32,27,54.2
Detroit Red Wings,2013/02/07  @ STL,STL,1,1,0,0,0,2,5,1,29,27,0,1,0,3,1,66.7,31,33,48.4
New York Islanders,2013/01/27  @ WPG,WPG,1,0,0,0,1,1,4,5,25,35,1,2,50,4,1,75,26,37,41.3
Pittsburgh Penguins,2013/04/20  @ BOS,BOS,1,1,0,0,0,2,3,2,24,40,2,6,33.3,4,1,75,29,43,40.3
Tampa Bay Lightning,2013/02/10  @ NYR,NYR,1,0,1,0,0,0,1,5,20,32,0,2,0,3,0,100,33,31,51.6
Boston Bruins,2013/03/19  @ WPG,WPG,1,0,1,0,0,0,1,3,28,25,0,4,0,2,1,50,27,24,52.9
