Team,Game,Opp Team,GP,W,L,T,OT,P,GF,GA,SF,SA,PPG,PP Opp,PP%,TS,PPGA,PK%,FOW,FOL,FOW%
Washington Capitals,2013/02/09  vs. FLA,FLA,1,1,0,0,0,2,5,0,25,27,1,2,50,2,0,100,25,24,51
Buffalo Sabres,2013/02/23  vs. NYI,NYI,1,0,1,0,0,0,0,4,35,32,0,6,0,4,1,75,32,28,53.3
New Jersey Devils,2013/02/10  @ PIT,PIT,1,1,0,0,0,2,3,1,23,24,1,1,100,3,1,66.7,21,34,38.2
Buffalo Sabres,2013/04/11  vs. MTL,MTL,1,0,1,0,0,0,1,5,15,42,0,2,0,8,2,75,24,33,42.1
New York Rangers,2013/03/24  vs. WSH,WSH,1,0,0,0,1,1,2,2,32,24,1,2,50,3,1,66.7,27,25,51.9
New Jersey Devils,2013/03/02  @ BUF,BUF,1,0,0,0,1,1,3,3,31,23,0,5,0,6,0,100,33,48,40.7
Buffalo Sabres,2013/02/28  @ FLA,FLA,1,1,0,0,0,2,3,3,25,43,1,1,100,4,1,75,27,35,43.5
Edmonton Oilers,2013/01/30  @ PHX,PHX,1,1,0,0,0,2,2,1,21,28,1,4,25,2,1,50,21,26,44.7
Los Angeles Kings,2013/03/11  vs. CGY,CGY,1,1,0,0,0,2,3,1,22,24,1,1,100,4,0,100,22,32,40.7
New York Islanders,2013/01/25  @ BOS,BOS,1,0,1,0,0,0,2,4,26,27,0,3,0,3,0,100,23,36,39
Anaheim Ducks,2013/02/25  @ LAK,LAK,1,0,1,0,0,0,2,5,26,25,1,3,33.3,2,1,50,24,41,36.9
Winnipeg Jets,2013/01/19  vs. OTT,OTT,1,0,1,0,0,0,1,4,28,37,1,6,16.7,2,1,50,35,28,55.6
Columbus Blue Jackets,2013/02/02  vs. DET,DET,1,1,0,0,0,2,4,2,28,34,1,3,33.3,5,0,100,24,33,42.1
Phoenix Coyotes,2013/01/30  vs. EDM,EDM,1,0,0,0,1,1,1,2,28,21,1,2,50,4,1,75,26,21,55.3
Vancouver Canucks,2013/03/03  @ CGY,CGY,1,0,1,0,0,0,2,4,31,25,0,2,0,4,1,75,32,31,50.8
Carolina Hurricanes,2013/04/09  vs. PIT,PIT,1,0,1,0,0,0,3,5,28,33,1,2,50,2,0,100,35,24,59.3
